category,image_name,image_path
Action,001.jpg,data\Stimuli\Action\001.jpg
Action,003.jpg,data\Stimuli\Action\003.jpg
Action,005.jpg,data\Stimuli\Action\005.jpg
Action,007.jpg,data\Stimuli\Action\007.jpg
Action,009.jpg,data\Stimuli\Action\009.jpg
Action,011.jpg,data\Stimuli\Action\011.jpg
Action,013.jpg,data\Stimuli\Action\013.jpg
Action,015.jpg,data\Stimuli\Action\015.jpg
Action,017.jpg,data\Stimuli\Action\017.jpg
Action,019.jpg,data\Stimuli\Action\019.jpg
Action,021.jpg,data\Stimuli\Action\021.jpg
Action,023.jpg,data\Stimuli\Action\023.jpg
Action,025.jpg,data\Stimuli\Action\025.jpg
Action,027.jpg,data\Stimuli\Action\027.jpg
Action,029.jpg,data\Stimuli\Action\029.jpg
Action,031.jpg,data\Stimuli\Action\031.jpg
Action,033.jpg,data\Stimuli\Action\033.jpg
Action,035.jpg,data\Stimuli\Action\035.jpg
Action,037.jpg,data\Stimuli\Action\037.jpg
Action,039.jpg,data\Stimuli\Action\039.jpg
Action,041.jpg,data\Stimuli\Action\041.jpg
Action,043.jpg,data\Stimuli\Action\043.jpg
Action,045.jpg,data\Stimuli\Action\045.jpg
Action,047.jpg,data\Stimuli\Action\047.jpg
Action,049.jpg,data\Stimuli\Action\049.jpg
Action,051.jpg,data\Stimuli\Action\051.jpg
Action,053.jpg,data\Stimuli\Action\053.jpg
Action,055.jpg,data\Stimuli\Action\055.jpg
Action,057.jpg,data\Stimuli\Action\057.jpg
Action,059.jpg,data\Stimuli\Action\059.jpg
Action,061.jpg,data\Stimuli\Action\061.jpg
Action,063.jpg,data\Stimuli\Action\063.jpg
Action,065.jpg,data\Stimuli\Action\065.jpg
Action,067.jpg,data\Stimuli\Action\067.jpg
Action,069.jpg,data\Stimuli\Action\069.jpg
Affective,001.jpg,data\Stimuli\Affective\001.jpg
Affective,003.jpg,data\Stimuli\Affective\003.jpg
Affective,005.jpg,data\Stimuli\Affective\005.jpg
Affective,007.jpg,data\Stimuli\Affective\007.jpg
Affective,009.jpg,data\Stimuli\Affective\009.jpg
Affective,011.jpg,data\Stimuli\Affective\011.jpg
Affective,013.jpg,data\Stimuli\Affective\013.jpg
Affective,015.jpg,data\Stimuli\Affective\015.jpg
Affective,017.jpg,data\Stimuli\Affective\017.jpg
Affective,019.jpg,data\Stimuli\Affective\019.jpg
Affective,021.jpg,data\Stimuli\Affective\021.jpg
Affective,023.jpg,data\Stimuli\Affective\023.jpg
Affective,025.jpg,data\Stimuli\Affective\025.jpg
Affective,027.jpg,data\Stimuli\Affective\027.jpg
Affective,029.jpg,data\Stimuli\Affective\029.jpg
Affective,031.jpg,data\Stimuli\Affective\031.jpg
Affective,033.jpg,data\Stimuli\Affective\033.jpg
Affective,035.jpg,data\Stimuli\Affective\035.jpg
Affective,037.jpg,data\Stimuli\Affective\037.jpg
Affective,039.jpg,data\Stimuli\Affective\039.jpg
Affective,041.jpg,data\Stimuli\Affective\041.jpg
Affective,043.jpg,data\Stimuli\Affective\043.jpg
Affective,045.jpg,data\Stimuli\Affective\045.jpg
Affective,047.jpg,data\Stimuli\Affective\047.jpg
Affective,049.jpg,data\Stimuli\Affective\049.jpg
Affective,051.jpg,data\Stimuli\Affective\051.jpg
Affective,053.jpg,data\Stimuli\Affective\053.jpg
Affective,055.jpg,data\Stimuli\Affective\055.jpg
Affective,057.jpg,data\Stimuli\Affective\057.jpg
Affective,059.jpg,data\Stimuli\Affective\059.jpg
Affective,061.jpg,data\Stimuli\Affective\061.jpg
Affective,063.jpg,data\Stimuli\Affective\063.jpg
Affective,065.jpg,data\Stimuli\Affective\065.jpg
Affective,067.jpg,data\Stimuli\Affective\067.jpg
Affective,069.jpg,data\Stimuli\Affective\069.jpg
Art,001.jpg,data\Stimuli\Art\001.jpg
Art,003.jpg,data\Stimuli\Art\003.jpg
Art,005.jpg,data\Stimuli\Art\005.jpg
Art,007.jpg,data\Stimuli\Art\007.jpg
Art,009.jpg,data\Stimuli\Art\009.jpg
Art,011.jpg,data\Stimuli\Art\011.jpg
Art,013.jpg,data\Stimuli\Art\013.jpg
Art,015.jpg,data\Stimuli\Art\015.jpg
Art,017.jpg,data\Stimuli\Art\017.jpg
Art,019.jpg,data\Stimuli\Art\019.jpg
Art,021.jpg,data\Stimuli\Art\021.jpg
Art,023.jpg,data\Stimuli\Art\023.jpg
Art,025.jpg,data\Stimuli\Art\025.jpg
Art,027.jpg,data\Stimuli\Art\027.jpg
Art,029.jpg,data\Stimuli\Art\029.jpg
Art,031.jpg,data\Stimuli\Art\031.jpg
Art,033.jpg,data\Stimuli\Art\033.jpg
Art,035.jpg,data\Stimuli\Art\035.jpg
Art,037.jpg,data\Stimuli\Art\037.jpg
Art,039.jpg,data\Stimuli\Art\039.jpg
Art,041.jpg,data\Stimuli\Art\041.jpg
Art,043.jpg,data\Stimuli\Art\043.jpg
Art,045.jpg,data\Stimuli\Art\045.jpg
Art,047.jpg,data\Stimuli\Art\047.jpg
Art,049.jpg,data\Stimuli\Art\049.jpg
Art,051.jpg,data\Stimuli\Art\051.jpg
Art,053.jpg,data\Stimuli\Art\053.jpg
Art,055.jpg,data\Stimuli\Art\055.jpg
Art,057.jpg,data\Stimuli\Art\057.jpg
Art,059.jpg,data\Stimuli\Art\059.jpg
Art,061.jpg,data\Stimuli\Art\061.jpg
Art,063.jpg,data\Stimuli\Art\063.jpg
Art,065.jpg,data\Stimuli\Art\065.jpg
Art,067.jpg,data\Stimuli\Art\067.jpg
Art,069.jpg,data\Stimuli\Art\069.jpg
BlackWhite,001.jpg,data\Stimuli\BlackWhite\001.jpg
BlackWhite,003.jpg,data\Stimuli\BlackWhite\003.jpg
BlackWhite,005.jpg,data\Stimuli\BlackWhite\005.jpg
BlackWhite,007.jpg,data\Stimuli\BlackWhite\007.jpg
BlackWhite,009.jpg,data\Stimuli\BlackWhite\009.jpg
BlackWhite,011.jpg,data\Stimuli\BlackWhite\011.jpg
BlackWhite,013.jpg,data\Stimuli\BlackWhite\013.jpg
BlackWhite,015.jpg,data\Stimuli\BlackWhite\015.jpg
BlackWhite,017.jpg,data\Stimuli\BlackWhite\017.jpg
BlackWhite,019.jpg,data\Stimuli\BlackWhite\019.jpg
BlackWhite,021.jpg,data\Stimuli\BlackWhite\021.jpg
BlackWhite,023.jpg,data\Stimuli\BlackWhite\023.jpg
BlackWhite,025.jpg,data\Stimuli\BlackWhite\025.jpg
BlackWhite,027.jpg,data\Stimuli\BlackWhite\027.jpg
BlackWhite,029.jpg,data\Stimuli\BlackWhite\029.jpg
BlackWhite,031.jpg,data\Stimuli\BlackWhite\031.jpg
BlackWhite,033.jpg,data\Stimuli\BlackWhite\033.jpg
BlackWhite,035.jpg,data\Stimuli\BlackWhite\035.jpg
BlackWhite,037.jpg,data\Stimuli\BlackWhite\037.jpg
BlackWhite,039.jpg,data\Stimuli\BlackWhite\039.jpg
BlackWhite,041.jpg,data\Stimuli\BlackWhite\041.jpg
BlackWhite,043.jpg,data\Stimuli\BlackWhite\043.jpg
BlackWhite,045.jpg,data\Stimuli\BlackWhite\045.jpg
BlackWhite,047.jpg,data\Stimuli\BlackWhite\047.jpg
BlackWhite,049.jpg,data\Stimuli\BlackWhite\049.jpg
BlackWhite,051.jpg,data\Stimuli\BlackWhite\051.jpg
BlackWhite,053.jpg,data\Stimuli\BlackWhite\053.jpg
BlackWhite,055.jpg,data\Stimuli\BlackWhite\055.jpg
BlackWhite,057.jpg,data\Stimuli\BlackWhite\057.jpg
BlackWhite,059.jpg,data\Stimuli\BlackWhite\059.jpg
BlackWhite,061.jpg,data\Stimuli\BlackWhite\061.jpg
BlackWhite,063.jpg,data\Stimuli\BlackWhite\063.jpg
BlackWhite,065.jpg,data\Stimuli\BlackWhite\065.jpg
BlackWhite,067.jpg,data\Stimuli\BlackWhite\067.jpg
BlackWhite,069.jpg,data\Stimuli\BlackWhite\069.jpg
Cartoon,001.jpg,data\Stimuli\Cartoon\001.jpg
Cartoon,003.jpg,data\Stimuli\Cartoon\003.jpg
Cartoon,005.jpg,data\Stimuli\Cartoon\005.jpg
Cartoon,007.jpg,data\Stimuli\Cartoon\007.jpg
Cartoon,009.jpg,data\Stimuli\Cartoon\009.jpg
Cartoon,011.jpg,data\Stimuli\Cartoon\011.jpg
Cartoon,013.jpg,data\Stimuli\Cartoon\013.jpg
Cartoon,015.jpg,data\Stimuli\Cartoon\015.jpg
Cartoon,017.jpg,data\Stimuli\Cartoon\017.jpg
Cartoon,019.jpg,data\Stimuli\Cartoon\019.jpg
Cartoon,021.jpg,data\Stimuli\Cartoon\021.jpg
Cartoon,023.jpg,data\Stimuli\Cartoon\023.jpg
Cartoon,025.jpg,data\Stimuli\Cartoon\025.jpg
Cartoon,027.jpg,data\Stimuli\Cartoon\027.jpg
Cartoon,029.jpg,data\Stimuli\Cartoon\029.jpg
Cartoon,031.jpg,data\Stimuli\Cartoon\031.jpg
Cartoon,033.jpg,data\Stimuli\Cartoon\033.jpg
Cartoon,035.jpg,data\Stimuli\Cartoon\035.jpg
Cartoon,037.jpg,data\Stimuli\Cartoon\037.jpg
Cartoon,039.jpg,data\Stimuli\Cartoon\039.jpg
Cartoon,041.jpg,data\Stimuli\Cartoon\041.jpg
Cartoon,043.jpg,data\Stimuli\Cartoon\043.jpg
Cartoon,045.jpg,data\Stimuli\Cartoon\045.jpg
Cartoon,047.jpg,data\Stimuli\Cartoon\047.jpg
Cartoon,049.jpg,data\Stimuli\Cartoon\049.jpg
Cartoon,051.jpg,data\Stimuli\Cartoon\051.jpg
Cartoon,053.jpg,data\Stimuli\Cartoon\053.jpg
Cartoon,055.jpg,data\Stimuli\Cartoon\055.jpg
Cartoon,057.jpg,data\Stimuli\Cartoon\057.jpg
Cartoon,059.jpg,data\Stimuli\Cartoon\059.jpg
Cartoon,061.jpg,data\Stimuli\Cartoon\061.jpg
Cartoon,063.jpg,data\Stimuli\Cartoon\063.jpg
Cartoon,065.jpg,data\Stimuli\Cartoon\065.jpg
Cartoon,067.jpg,data\Stimuli\Cartoon\067.jpg
Cartoon,069.jpg,data\Stimuli\Cartoon\069.jpg
Fractal,001.jpg,data\Stimuli\Fractal\001.jpg
Fractal,003.jpg,data\Stimuli\Fractal\003.jpg
Fractal,005.jpg,data\Stimuli\Fractal\005.jpg
Fractal,007.jpg,data\Stimuli\Fractal\007.jpg
Fractal,009.jpg,data\Stimuli\Fractal\009.jpg
Fractal,011.jpg,data\Stimuli\Fractal\011.jpg
Fractal,013.jpg,data\Stimuli\Fractal\013.jpg
Fractal,015.jpg,data\Stimuli\Fractal\015.jpg
Fractal,017.jpg,data\Stimuli\Fractal\017.jpg
Fractal,019.jpg,data\Stimuli\Fractal\019.jpg
Fractal,021.jpg,data\Stimuli\Fractal\021.jpg
Fractal,023.jpg,data\Stimuli\Fractal\023.jpg
Fractal,025.jpg,data\Stimuli\Fractal\025.jpg
Fractal,027.jpg,data\Stimuli\Fractal\027.jpg
Fractal,029.jpg,data\Stimuli\Fractal\029.jpg
Fractal,031.jpg,data\Stimuli\Fractal\031.jpg
Fractal,033.jpg,data\Stimuli\Fractal\033.jpg
Fractal,035.jpg,data\Stimuli\Fractal\035.jpg
Fractal,037.jpg,data\Stimuli\Fractal\037.jpg
Fractal,039.jpg,data\Stimuli\Fractal\039.jpg
Fractal,041.jpg,data\Stimuli\Fractal\041.jpg
Fractal,043.jpg,data\Stimuli\Fractal\043.jpg
Fractal,045.jpg,data\Stimuli\Fractal\045.jpg
Fractal,047.jpg,data\Stimuli\Fractal\047.jpg
Fractal,049.jpg,data\Stimuli\Fractal\049.jpg
Fractal,051.jpg,data\Stimuli\Fractal\051.jpg
Fractal,053.jpg,data\Stimuli\Fractal\053.jpg
Fractal,055.jpg,data\Stimuli\Fractal\055.jpg
Fractal,057.jpg,data\Stimuli\Fractal\057.jpg
Fractal,059.jpg,data\Stimuli\Fractal\059.jpg
Fractal,061.jpg,data\Stimuli\Fractal\061.jpg
Fractal,063.jpg,data\Stimuli\Fractal\063.jpg
Fractal,065.jpg,data\Stimuli\Fractal\065.jpg
Fractal,067.jpg,data\Stimuli\Fractal\067.jpg
Fractal,069.jpg,data\Stimuli\Fractal\069.jpg
Indoor,001.jpg,data\Stimuli\Indoor\001.jpg
Indoor,003.jpg,data\Stimuli\Indoor\003.jpg
Indoor,005.jpg,data\Stimuli\Indoor\005.jpg
Indoor,007.jpg,data\Stimuli\Indoor\007.jpg
Indoor,009.jpg,data\Stimuli\Indoor\009.jpg
Indoor,011.jpg,data\Stimuli\Indoor\011.jpg
Indoor,013.jpg,data\Stimuli\Indoor\013.jpg
Indoor,015.jpg,data\Stimuli\Indoor\015.jpg
Indoor,017.jpg,data\Stimuli\Indoor\017.jpg
Indoor,019.jpg,data\Stimuli\Indoor\019.jpg
Indoor,021.jpg,data\Stimuli\Indoor\021.jpg
Indoor,023.jpg,data\Stimuli\Indoor\023.jpg
Indoor,025.jpg,data\Stimuli\Indoor\025.jpg
Indoor,027.jpg,data\Stimuli\Indoor\027.jpg
Indoor,029.jpg,data\Stimuli\Indoor\029.jpg
Indoor,031.jpg,data\Stimuli\Indoor\031.jpg
Indoor,033.jpg,data\Stimuli\Indoor\033.jpg
Indoor,035.jpg,data\Stimuli\Indoor\035.jpg
Indoor,037.jpg,data\Stimuli\Indoor\037.jpg
Indoor,039.jpg,data\Stimuli\Indoor\039.jpg
Indoor,041.jpg,data\Stimuli\Indoor\041.jpg
Indoor,043.jpg,data\Stimuli\Indoor\043.jpg
Indoor,045.jpg,data\Stimuli\Indoor\045.jpg
Indoor,047.jpg,data\Stimuli\Indoor\047.jpg
Indoor,049.jpg,data\Stimuli\Indoor\049.jpg
Indoor,051.jpg,data\Stimuli\Indoor\051.jpg
Indoor,053.jpg,data\Stimuli\Indoor\053.jpg
Indoor,055.jpg,data\Stimuli\Indoor\055.jpg
Indoor,057.jpg,data\Stimuli\Indoor\057.jpg
Indoor,059.jpg,data\Stimuli\Indoor\059.jpg
Indoor,061.jpg,data\Stimuli\Indoor\061.jpg
Indoor,063.jpg,data\Stimuli\Indoor\063.jpg
Indoor,065.jpg,data\Stimuli\Indoor\065.jpg
Indoor,067.jpg,data\Stimuli\Indoor\067.jpg
Indoor,069.jpg,data\Stimuli\Indoor\069.jpg
Inverted,001.jpg,data\Stimuli\Inverted\001.jpg
Inverted,003.jpg,data\Stimuli\Inverted\003.jpg
Inverted,005.jpg,data\Stimuli\Inverted\005.jpg
Inverted,007.jpg,data\Stimuli\Inverted\007.jpg
Inverted,009.jpg,data\Stimuli\Inverted\009.jpg
Inverted,011.jpg,data\Stimuli\Inverted\011.jpg
Inverted,013.jpg,data\Stimuli\Inverted\013.jpg
Inverted,015.jpg,data\Stimuli\Inverted\015.jpg
Inverted,017.jpg,data\Stimuli\Inverted\017.jpg
Inverted,019.jpg,data\Stimuli\Inverted\019.jpg
Inverted,021.jpg,data\Stimuli\Inverted\021.jpg
Inverted,023.jpg,data\Stimuli\Inverted\023.jpg
Inverted,025.jpg,data\Stimuli\Inverted\025.jpg
Inverted,027.jpg,data\Stimuli\Inverted\027.jpg
Inverted,029.jpg,data\Stimuli\Inverted\029.jpg
Inverted,031.jpg,data\Stimuli\Inverted\031.jpg
Inverted,033.jpg,data\Stimuli\Inverted\033.jpg
Inverted,035.jpg,data\Stimuli\Inverted\035.jpg
Inverted,037.jpg,data\Stimuli\Inverted\037.jpg
Inverted,039.jpg,data\Stimuli\Inverted\039.jpg
Inverted,041.jpg,data\Stimuli\Inverted\041.jpg
Inverted,043.jpg,data\Stimuli\Inverted\043.jpg
Inverted,045.jpg,data\Stimuli\Inverted\045.jpg
Inverted,047.jpg,data\Stimuli\Inverted\047.jpg
Inverted,049.jpg,data\Stimuli\Inverted\049.jpg
Inverted,051.jpg,data\Stimuli\Inverted\051.jpg
Inverted,053.jpg,data\Stimuli\Inverted\053.jpg
Inverted,055.jpg,data\Stimuli\Inverted\055.jpg
Inverted,057.jpg,data\Stimuli\Inverted\057.jpg
Inverted,059.jpg,data\Stimuli\Inverted\059.jpg
Inverted,061.jpg,data\Stimuli\Inverted\061.jpg
Inverted,063.jpg,data\Stimuli\Inverted\063.jpg
Inverted,065.jpg,data\Stimuli\Inverted\065.jpg
Inverted,067.jpg,data\Stimuli\Inverted\067.jpg
Inverted,069.jpg,data\Stimuli\Inverted\069.jpg
Jumbled,001.jpg,data\Stimuli\Jumbled\001.jpg
Jumbled,003.jpg,data\Stimuli\Jumbled\003.jpg
Jumbled,005.jpg,data\Stimuli\Jumbled\005.jpg
Jumbled,007.jpg,data\Stimuli\Jumbled\007.jpg
Jumbled,009.jpg,data\Stimuli\Jumbled\009.jpg
Jumbled,011.jpg,data\Stimuli\Jumbled\011.jpg
Jumbled,013.jpg,data\Stimuli\Jumbled\013.jpg
Jumbled,015.jpg,data\Stimuli\Jumbled\015.jpg
Jumbled,017.jpg,data\Stimuli\Jumbled\017.jpg
Jumbled,019.jpg,data\Stimuli\Jumbled\019.jpg
Jumbled,021.jpg,data\Stimuli\Jumbled\021.jpg
Jumbled,023.jpg,data\Stimuli\Jumbled\023.jpg
Jumbled,025.jpg,data\Stimuli\Jumbled\025.jpg
Jumbled,027.jpg,data\Stimuli\Jumbled\027.jpg
Jumbled,029.jpg,data\Stimuli\Jumbled\029.jpg
Jumbled,031.jpg,data\Stimuli\Jumbled\031.jpg
Jumbled,033.jpg,data\Stimuli\Jumbled\033.jpg
Jumbled,035.jpg,data\Stimuli\Jumbled\035.jpg
Jumbled,037.jpg,data\Stimuli\Jumbled\037.jpg
Jumbled,039.jpg,data\Stimuli\Jumbled\039.jpg
Jumbled,041.jpg,data\Stimuli\Jumbled\041.jpg
Jumbled,043.jpg,data\Stimuli\Jumbled\043.jpg
Jumbled,045.jpg,data\Stimuli\Jumbled\045.jpg
Jumbled,047.jpg,data\Stimuli\Jumbled\047.jpg
Jumbled,049.jpg,data\Stimuli\Jumbled\049.jpg
Jumbled,051.jpg,data\Stimuli\Jumbled\051.jpg
Jumbled,053.jpg,data\Stimuli\Jumbled\053.jpg
Jumbled,055.jpg,data\Stimuli\Jumbled\055.jpg
Jumbled,057.jpg,data\Stimuli\Jumbled\057.jpg
Jumbled,059.jpg,data\Stimuli\Jumbled\059.jpg
Jumbled,061.jpg,data\Stimuli\Jumbled\061.jpg
Jumbled,063.jpg,data\Stimuli\Jumbled\063.jpg
Jumbled,065.jpg,data\Stimuli\Jumbled\065.jpg
Jumbled,067.jpg,data\Stimuli\Jumbled\067.jpg
Jumbled,069.jpg,data\Stimuli\Jumbled\069.jpg
LineDrawing,001.jpg,data\Stimuli\LineDrawing\001.jpg
LineDrawing,003.jpg,data\Stimuli\LineDrawing\003.jpg
LineDrawing,005.jpg,data\Stimuli\LineDrawing\005.jpg
LineDrawing,007.jpg,data\Stimuli\LineDrawing\007.jpg
LineDrawing,009.jpg,data\Stimuli\LineDrawing\009.jpg
LineDrawing,011.jpg,data\Stimuli\LineDrawing\011.jpg
LineDrawing,013.jpg,data\Stimuli\LineDrawing\013.jpg
LineDrawing,015.jpg,data\Stimuli\LineDrawing\015.jpg
LineDrawing,017.jpg,data\Stimuli\LineDrawing\017.jpg
LineDrawing,019.jpg,data\Stimuli\LineDrawing\019.jpg
LineDrawing,021.jpg,data\Stimuli\LineDrawing\021.jpg
LineDrawing,023.jpg,data\Stimuli\LineDrawing\023.jpg
LineDrawing,025.jpg,data\Stimuli\LineDrawing\025.jpg
LineDrawing,027.jpg,data\Stimuli\LineDrawing\027.jpg
LineDrawing,029.jpg,data\Stimuli\LineDrawing\029.jpg
LineDrawing,031.jpg,data\Stimuli\LineDrawing\031.jpg
LineDrawing,033.jpg,data\Stimuli\LineDrawing\033.jpg
LineDrawing,035.jpg,data\Stimuli\LineDrawing\035.jpg
LineDrawing,037.jpg,data\Stimuli\LineDrawing\037.jpg
LineDrawing,039.jpg,data\Stimuli\LineDrawing\039.jpg
LineDrawing,041.jpg,data\Stimuli\LineDrawing\041.jpg
LineDrawing,043.jpg,data\Stimuli\LineDrawing\043.jpg
LineDrawing,045.jpg,data\Stimuli\LineDrawing\045.jpg
LineDrawing,047.jpg,data\Stimuli\LineDrawing\047.jpg
LineDrawing,049.jpg,data\Stimuli\LineDrawing\049.jpg
LineDrawing,051.jpg,data\Stimuli\LineDrawing\051.jpg
LineDrawing,053.jpg,data\Stimuli\LineDrawing\053.jpg
LineDrawing,055.jpg,data\Stimuli\LineDrawing\055.jpg
LineDrawing,057.jpg,data\Stimuli\LineDrawing\057.jpg
LineDrawing,059.jpg,data\Stimuli\LineDrawing\059.jpg
LineDrawing,061.jpg,data\Stimuli\LineDrawing\061.jpg
LineDrawing,063.jpg,data\Stimuli\LineDrawing\063.jpg
LineDrawing,065.jpg,data\Stimuli\LineDrawing\065.jpg
LineDrawing,067.jpg,data\Stimuli\LineDrawing\067.jpg
LineDrawing,069.jpg,data\Stimuli\LineDrawing\069.jpg
LowResolution,001.jpg,data\Stimuli\LowResolution\001.jpg
LowResolution,003.jpg,data\Stimuli\LowResolution\003.jpg
LowResolution,005.jpg,data\Stimuli\LowResolution\005.jpg
LowResolution,007.jpg,data\Stimuli\LowResolution\007.jpg
LowResolution,009.jpg,data\Stimuli\LowResolution\009.jpg
LowResolution,011.jpg,data\Stimuli\LowResolution\011.jpg
LowResolution,013.jpg,data\Stimuli\LowResolution\013.jpg
LowResolution,015.jpg,data\Stimuli\LowResolution\015.jpg
LowResolution,017.jpg,data\Stimuli\LowResolution\017.jpg
LowResolution,019.jpg,data\Stimuli\LowResolution\019.jpg
LowResolution,021.jpg,data\Stimuli\LowResolution\021.jpg
LowResolution,023.jpg,data\Stimuli\LowResolution\023.jpg
LowResolution,025.jpg,data\Stimuli\LowResolution\025.jpg
LowResolution,027.jpg,data\Stimuli\LowResolution\027.jpg
LowResolution,029.jpg,data\Stimuli\LowResolution\029.jpg
LowResolution,031.jpg,data\Stimuli\LowResolution\031.jpg
LowResolution,033.jpg,data\Stimuli\LowResolution\033.jpg
LowResolution,035.jpg,data\Stimuli\LowResolution\035.jpg
LowResolution,037.jpg,data\Stimuli\LowResolution\037.jpg
LowResolution,039.jpg,data\Stimuli\LowResolution\039.jpg
LowResolution,041.jpg,data\Stimuli\LowResolution\041.jpg
LowResolution,043.jpg,data\Stimuli\LowResolution\043.jpg
LowResolution,045.jpg,data\Stimuli\LowResolution\045.jpg
LowResolution,047.jpg,data\Stimuli\LowResolution\047.jpg
LowResolution,049.jpg,data\Stimuli\LowResolution\049.jpg
LowResolution,051.jpg,data\Stimuli\LowResolution\051.jpg
LowResolution,053.jpg,data\Stimuli\LowResolution\053.jpg
LowResolution,055.jpg,data\Stimuli\LowResolution\055.jpg
LowResolution,057.jpg,data\Stimuli\LowResolution\057.jpg
LowResolution,059.jpg,data\Stimuli\LowResolution\059.jpg
LowResolution,061.jpg,data\Stimuli\LowResolution\061.jpg
LowResolution,063.jpg,data\Stimuli\LowResolution\063.jpg
LowResolution,065.jpg,data\Stimuli\LowResolution\065.jpg
LowResolution,067.jpg,data\Stimuli\LowResolution\067.jpg
LowResolution,069.jpg,data\Stimuli\LowResolution\069.jpg
Noisy,001.jpg,data\Stimuli\Noisy\001.jpg
Noisy,003.jpg,data\Stimuli\Noisy\003.jpg
Noisy,005.jpg,data\Stimuli\Noisy\005.jpg
Noisy,007.jpg,data\Stimuli\Noisy\007.jpg
Noisy,009.jpg,data\Stimuli\Noisy\009.jpg
Noisy,011.jpg,data\Stimuli\Noisy\011.jpg
Noisy,013.jpg,data\Stimuli\Noisy\013.jpg
Noisy,015.jpg,data\Stimuli\Noisy\015.jpg
Noisy,017.jpg,data\Stimuli\Noisy\017.jpg
Noisy,019.jpg,data\Stimuli\Noisy\019.jpg
Noisy,021.jpg,data\Stimuli\Noisy\021.jpg
Noisy,023.jpg,data\Stimuli\Noisy\023.jpg
Noisy,025.jpg,data\Stimuli\Noisy\025.jpg
Noisy,027.jpg,data\Stimuli\Noisy\027.jpg
Noisy,029.jpg,data\Stimuli\Noisy\029.jpg
Noisy,031.jpg,data\Stimuli\Noisy\031.jpg
Noisy,033.jpg,data\Stimuli\Noisy\033.jpg
Noisy,035.jpg,data\Stimuli\Noisy\035.jpg
Noisy,037.jpg,data\Stimuli\Noisy\037.jpg
Noisy,039.jpg,data\Stimuli\Noisy\039.jpg
Noisy,041.jpg,data\Stimuli\Noisy\041.jpg
Noisy,043.jpg,data\Stimuli\Noisy\043.jpg
Noisy,045.jpg,data\Stimuli\Noisy\045.jpg
Noisy,047.jpg,data\Stimuli\Noisy\047.jpg
Noisy,049.jpg,data\Stimuli\Noisy\049.jpg
Noisy,051.jpg,data\Stimuli\Noisy\051.jpg
Noisy,053.jpg,data\Stimuli\Noisy\053.jpg
Noisy,055.jpg,data\Stimuli\Noisy\055.jpg
Noisy,057.jpg,data\Stimuli\Noisy\057.jpg
Noisy,059.jpg,data\Stimuli\Noisy\059.jpg
Noisy,061.jpg,data\Stimuli\Noisy\061.jpg
Noisy,063.jpg,data\Stimuli\Noisy\063.jpg
Noisy,065.jpg,data\Stimuli\Noisy\065.jpg
Noisy,067.jpg,data\Stimuli\Noisy\067.jpg
Noisy,069.jpg,data\Stimuli\Noisy\069.jpg
Object,001.jpg,data\Stimuli\Object\001.jpg
Object,003.jpg,data\Stimuli\Object\003.jpg
