model_name,category,delta_entropy,delta_center_distance,delta_num_peaks
center_bias_baseline,Action,7.474054040908814,42.22520067638807,2.64
center_bias_baseline,Affective,7.436752395629883,58.44044044769236,2.75
center_bias_baseline,Art,7.48494321346283,45.22018004264438,3.28
center_bias_baseline,BlackWhite,7.528415646553039,43.72950321856105,2.6
center_bias_baseline,Cartoon,7.445370755195618,60.55906051108839,3.36
center_bias_baseline,Fractal,7.548726849555969,36.735185023294136,2.0
center_bias_baseline,Indoor,7.457563619613648,50.22359717228506,3.08
center_bias_baseline,Inverted,7.466841673851013,36.531165409502755,2.79
center_bias_baseline,Jumbled,7.435473175048828,46.0465784199658,3.08
center_bias_baseline,LineDrawing,7.500226469039917,27.95371712651222,2.38
center_bias_baseline,LowResolution,7.679173760414123,49.20993875569035,2.21
center_bias_baseline,Noisy,7.61810387134552,35.621056313796636,2.84
center_bias_baseline,Object,7.505493359565735,41.058204441214386,3.17
center_bias_baseline,OutdoorManMade,7.4711243391036986,39.62519937567522,2.77
center_bias_baseline,OutdoorNatural,7.544194383621216,35.02640129593147,2.39
center_bias_baseline,Pattern,7.577837700843811,40.79126210614204,2.48
center_bias_baseline,Random,7.529291019439698,38.51728364842634,2.8
center_bias_baseline,Satelite,7.514978013038635,49.59256342855269,2.37
center_bias_baseline,Sketch,7.563980598449707,57.840940408703794,2.87
center_bias_baseline,Social,7.386773781776428,50.82235101407154,3.01
deepgazeiie,Action,6.405282810756138,36.096656970629375,4.085714285714285
deepgazeiie,Affective,6.540397139957973,40.72258279052956,4.171428571428572
deepgazeiie,Art,6.989939757755825,34.84713414572813,8.285714285714286
deepgazeiie,BlackWhite,6.5835291862487795,28.982045740573817,4.285714285714286
deepgazeiie,Cartoon,6.8391920225960865,39.696365642230035,6.2
deepgazeiie,Fractal,7.227334226880755,25.036043292579617,6.142857142857143
deepgazeiie,Indoor,6.947551740918841,39.15936642587193,7.6
deepgazeiie,Inverted,6.869290406363351,31.33373848417319,7.057142857142857
deepgazeiie,Jumbled,6.980987221854074,27.664893635466033,6.085714285714285
deepgazeiie,LineDrawing,7.0362479073660715,30.235885948182002,6.285714285714286
deepgazeiie,LowResolution,7.0873599597385954,41.539246988329275,6.057142857142857
deepgazeiie,Noisy,7.130740819658552,22.48664791855552,6.0
deepgazeiie,Object,6.677578067779541,29.643049125829577,5.571428571428571
deepgazeiie,OutdoorManMade,6.899312768663679,34.59306138883732,5.885714285714286
deepgazeiie,OutdoorNatural,7.039388247898647,34.294697775463156,8.114285714285714
deepgazeiie,Pattern,7.007556125095912,37.49442364813217,11.257142857142858
deepgazeiie,Random,6.6056650979178295,28.605508146796023,5.571428571428571
deepgazeiie,Satelite,7.177612958635603,43.17398037762203,8.742857142857142
deepgazeiie,Sketch,6.461278833661761,22.566874773341564,5.085714285714285
deepgazeiie,Social,6.49412043435233,41.61308296636504,4.571428571428571
samresnet,Action,7.035727386474609,17.997195559290926,87.7
samresnet,Affective,6.893290672302246,20.310416100601763,75.66
samresnet,Art,7.150758585929871,20.410727915226627,86.6
samresnet,BlackWhite,7.026012587547302,17.151305024478596,86.59
samresnet,Cartoon,7.3095655298233035,20.51664571991778,105.92
samresnet,Fractal,7.202193207740784,17.685983678835107,108.85
samresnet,Indoor,7.280805311203003,20.067424703320544,97.11
samresnet,Inverted,7.263851256370544,15.64712528578719,104.53
samresnet,Jumbled,7.362701635360718,18.964733714829382,100.05
samresnet,LineDrawing,7.252017030715942,20.658405295415626,98.07
samresnet,LowResolution,7.078012957572937,18.52285356474823,93.65
samresnet,Noisy,7.280528349876404,19.52410893312988,83.18
samresnet,Object,6.956254458427429,19.795549489233085,109.97
samresnet,OutdoorManMade,7.244364190101623,20.0977034342533,89.11
samresnet,OutdoorNatural,7.276949911117554,18.936910397291303,93.08
samresnet,Pattern,7.144965128898621,19.715835421165735,89.04
samresnet,Random,7.032723426818848,17.68815779810526,108.76
samresnet,Satelite,7.464693942070007,20.992740478626942,91.61
samresnet,Sketch,6.658375597000122,14.965820470892774,99.71
samresnet,Social,7.097121663093567,16.85389265097809,93.96
transalnet,Action,7.871566753387452,168.13249417721835,6.36
transalnet,Affective,7.913927917480469,167.4611720727537,9.38
transalnet,Art,7.9349049949646,160.18448413276056,8.36
transalnet,BlackWhite,7.899036502838134,173.28091489387978,7.06
transalnet,Cartoon,7.966197052001953,162.98392661646133,6.58
transalnet,Fractal,8.12484354019165,207.76973354567465,13.7
transalnet,Indoor,7.979841156005859,150.18165142191745,8.82
transalnet,Inverted,7.972558126449585,178.49183388491633,9.88
transalnet,Jumbled,7.818603744506836,111.38339849707714,8.12
transalnet,LineDrawing,8.164420690536499,190.17639230091245,14.62
transalnet,LowResolution,8.073948936462402,213.20658932662832,5.66
transalnet,Noisy,8.032273235321044,162.64866695512237,6.96
transalnet,Object,7.9248365211486815,170.5135450754268,7.64
transalnet,OutdoorManMade,7.970230255126953,184.32325306287666,7.42
transalnet,OutdoorNatural,8.043776359558105,184.05496055142584,6.58
transalnet,Pattern,8.003225574493408,178.73856720163144,14.64
transalnet,Random,7.602353706359863,126.19259309065941,4.04
transalnet,Satelite,8.175345277786255,182.22039230009614,10.38
transalnet,Sketch,7.985146074295044,188.3673989876255,11.86
transalnet,Social,7.915890798568726,147.63863166311327,10.58
