model_name,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,0.5,15,12.278571428571428
deepgazeiie,0.5,25,11.914285714285715
deepgazeiie,0.5,35,11.777142857142858
deepgazeiie,0.6,15,9.802857142857142
deepgazeiie,0.6,25,9.554285714285715
deepgazeiie,0.6,35,9.451428571428572
deepgazeiie,0.7,15,7.954285714285715
deepgazeiie,0.7,25,7.771428571428571
deepgazeiie,0.7,35,7.685714285714286
samresnet,0.5,15,72.5305
samresnet,0.5,25,72.5305
samresnet,0.5,35,72.5305
samresnet,0.6,15,72.5305
samresnet,0.6,25,72.5305
samresnet,0.6,35,72.5305
samresnet,0.7,15,72.5305
samresnet,0.7,25,72.5305
samresnet,0.7,35,72.5305
