model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Action,0.5,15,9.028571428571428
deepgazeiie,Action,0.5,25,9.028571428571428
deepgazeiie,Action,0.5,35,8.914285714285715
deepgazeiie,Action,0.6,15,7.2
deepgazeiie,Action,0.6,25,7.2
deepgazeiie,Action,0.6,35,7.2
deepgazeiie,Action,0.7,15,6.171428571428572
deepgazeiie,Action,0.7,25,6.171428571428572
deepgazeiie,Action,0.7,35,6.171428571428572
deepgazeiie,Affective,0.5,15,9.028571428571428
deepgazeiie,Affective,0.5,25,8.8
deepgazeiie,Affective,0.5,35,8.742857142857142
deepgazeiie,Affective,0.6,15,7.6
deepgazeiie,Affective,0.6,25,7.428571428571429
deepgazeiie,Affective,0.6,35,7.428571428571429
deepgazeiie,Affective,0.7,15,6.571428571428571
deepgazeiie,Affective,0.7,25,6.4
deepgazeiie,Affective,0.7,35,6.4
deepgazeiie,Art,0.5,15,15.2
deepgazeiie,Art,0.5,25,14.4
deepgazeiie,Art,0.5,35,14.17142857142857
deepgazeiie,Art,0.6,15,11.371428571428572
deepgazeiie,Art,0.6,25,10.857142857142858
deepgazeiie,Art,0.6,35,10.628571428571428
deepgazeiie,Art,0.7,15,8.857142857142858
deepgazeiie,Art,0.7,25,8.342857142857143
deepgazeiie,Art,0.7,35,8.114285714285714
deepgazeiie,BlackWhite,0.5,15,9.6
deepgazeiie,BlackWhite,0.5,25,9.371428571428572
deepgazeiie,BlackWhite,0.5,35,9.257142857142858
deepgazeiie,BlackWhite,0.6,15,7.885714285714286
deepgazeiie,BlackWhite,0.6,25,7.6571428571428575
deepgazeiie,BlackWhite,0.6,35,7.6
deepgazeiie,BlackWhite,0.7,15,6.857142857142857
deepgazeiie,BlackWhite,0.7,25,6.857142857142857
deepgazeiie,BlackWhite,0.7,35,6.8
deepgazeiie,Cartoon,0.5,15,12.457142857142857
deepgazeiie,Cartoon,0.5,25,12.114285714285714
deepgazeiie,Cartoon,0.5,35,11.885714285714286
deepgazeiie,Cartoon,0.6,15,10.742857142857142
