model_name,category,delta_entropy,delta_center_distance,delta_num_peaks
center_bias_baseline,Action,7.474054040908814,42.22520067638807,2.64
center_bias_baseline,Affective,7.436752395629883,58.44044044769236,2.75
center_bias_baseline,Art,7.48494321346283,45.22018004264438,3.28
center_bias_baseline,BlackWhite,7.528415646553039,43.72950321856105,2.6
center_bias_baseline,Cartoon,7.445370755195618,60.55906051108839,3.36
center_bias_baseline,Fractal,7.548726849555969,36.735185023294136,2.0
center_bias_baseline,Indoor,7.457563619613648,50.22359717228506,3.08
center_bias_baseline,Inverted,7.466841673851013,36.531165409502755,2.79
center_bias_baseline,Jumbled,7.435473175048828,46.0465784199658,3.08
center_bias_baseline,LineDrawing,7.500226469039917,27.95371712651222,2.38
center_bias_baseline,LowResolution,7.679173760414123,49.20993875569035,2.21
center_bias_baseline,Noisy,7.61810387134552,35.621056313796636,2.84
center_bias_baseline,Object,7.505493359565735,41.058204441214386,3.17
center_bias_baseline,OutdoorManMade,7.4711243391036986,39.62519937567522,2.77
center_bias_baseline,OutdoorNatural,7.544194383621216,35.02640129593147,2.39
center_bias_baseline,Pattern,7.577837700843811,40.79126210614204,2.48
center_bias_baseline,Random,7.529291019439698,38.51728364842634,2.8
center_bias_baseline,Satelite,7.514978013038635,49.59256342855269,2.37
center_bias_baseline,Sketch,7.563980598449707,57.840940408703794,2.87
center_bias_baseline,Social,7.386773781776428,50.82235101407154,3.01
