model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Action,001,0.5,15,4,6,2
deepgazeiie,Action,001,0.5,25,4,6,2
deepgazeiie,Action,001,0.5,35,4,6,2
deepgazeiie,Action,001,0.6,15,4,6,2
deepgazeiie,Action,001,0.6,25,4,6,2
deepgazeiie,Action,001,0.6,35,4,6,2
deepgazeiie,Action,001,0.7,15,4,6,2
deepgazeiie,Action,001,0.7,25,4,6,2
deepgazeiie,Action,001,0.7,35,4,6,2
deepgazeiie,Action,003,0.5,15,4,9,5
deepgazeiie,Action,003,0.5,25,4,9,5
deepgazeiie,Action,003,0.5,35,4,9,5
deepgazeiie,Action,003,0.6,15,4,9,5
deepgazeiie,Action,003,0.6,25,4,9,5
deepgazeiie,Action,003,0.6,35,4,9,5
deepgazeiie,Action,003,0.7,15,4,9,5
deepgazeiie,Action,003,0.7,25,4,9,5
deepgazeiie,Action,003,0.7,35,4,9,5
deepgazeiie,Action,005,0.5,15,4,3,1
deepgazeiie,Action,005,0.5,25,4,3,1
deepgazeiie,Action,005,0.5,35,4,3,1
deepgazeiie,Action,005,0.6,15,4,3,1
deepgazeiie,Action,005,0.6,25,4,3,1
deepgazeiie,Action,005,0.6,35,4,3,1
deepgazeiie,Action,005,0.7,15,4,3,1
deepgazeiie,Action,005,0.7,25,4,3,1
deepgazeiie,Action,005,0.7,35,4,3,1
deepgazeiie,Action,007,0.5,15,4,4,0
deepgazeiie,Action,007,0.5,25,4,4,0
deepgazeiie,Action,007,0.5,35,4,4,0
deepgazeiie,Action,007,0.6,15,4,4,0
deepgazeiie,Action,007,0.6,25,4,4,0
deepgazeiie,Action,007,0.6,35,4,4,0
deepgazeiie,Action,007,0.7,15,4,4,0
deepgazeiie,Action,007,0.7,25,4,4,0
deepgazeiie,Action,007,0.7,35,4,4,0
deepgazeiie,Action,009,0.5,15,8,3,5
deepgazeiie,Action,009,0.5,25,8,3,5
deepgazeiie,Action,009,0.5,35,8,3,5
deepgazeiie,Action,009,0.6,15,8,3,5
deepgazeiie,Action,009,0.6,25,8,3,5
deepgazeiie,Action,009,0.6,35,8,3,5
deepgazeiie,Action,009,0.7,15,4,3,1
deepgazeiie,Action,009,0.7,25,4,3,1
deepgazeiie,Action,009,0.7,35,4,3,1
deepgazeiie,Action,011,0.5,15,4,1,3
deepgazeiie,Action,011,0.5,25,4,1,3
deepgazeiie,Action,011,0.5,35,4,1,3
deepgazeiie,Action,011,0.6,15,4,1,3
deepgazeiie,Action,011,0.6,25,4,1,3
deepgazeiie,Action,011,0.6,35,4,1,3
deepgazeiie,Action,011,0.7,15,4,1,3
deepgazeiie,Action,011,0.7,25,4,1,3
deepgazeiie,Action,011,0.7,35,4,1,3
