category,image,human_entropy,human_center_distance,human_num_peaks
Action,001,5.995593070983887,212.024395238429,6
Action,003,6.1447625160217285,293.942736762231,9
Action,005,6.1052374839782715,231.9127995310304,3
Action,007,6.093632221221924,259.8242327594318,4
Action,009,6.0848565101623535,249.83634329473898,3
Action,011,6.182762145996094,296.4516358318374,1
Action,013,6.144759178161621,286.7569026690232,6
Action,015,6.15849494934082,252.72841279822467,1
Action,017,6.081904411315918,288.4097010623457,2
Action,019,6.216770648956299,310.8184523770433,4
Action,021,6.309901714324951,324.26974767736453,8
Action,023,6.216769695281982,330.2504069458908,5
Action,025,6.3028645515441895,327.8002343050386,4
Action,027,6.279018878936768,316.897114360546,3
Action,029,6.219345569610596,278.6683528366335,1
Action,031,6.1693596839904785,316.246268969327,6
Action,033,5.972774982452393,240.0858097044475,4
Action,035,6.11953592300415,321.1261567079724,4
Action,037,6.017910957336426,281.483598879608,4
Action,039,6.070042133331299,222.39308615222825,6
Action,041,5.718057632446289,176.79059151302312,1
Action,043,5.784222602844238,226.59097966909766,4
Action,045,5.995590686798096,197.70243489133944,1
Action,047,5.735025882720947,177.9517760586045,1
Action,049,6.030421257019043,178.49665352475114,2
Action,051,6.239651679992676,278.981198630439,6
Action,053,6.193355083465576,259.0174349161835,4
Action,055,6.2693257331848145,260.4011218420249,3
Action,057,6.211607933044434,272.9033050843482,3
Action,059,6.261986255645752,311.66201403360776,2
Action,061,6.113832473754883,208.7337895072371,4
Action,063,6.1880717277526855,343.58287617858565,3
Action,065,6.128014087677002,162.06461942348483,3
Action,067,6.110980033874512,211.34732312585007,4
Action,069,6.090718746185303,202.14998561018697,4
Action,071,6.18276309967041,325.29652260362667,3
Action,073,5.9594807624816895,207.54800999830573,5
Action,075,6.116696834564209,217.34209732528794,3
Action,077,6.1720452308654785,348.11935801463596,5
Action,079,6.110978126525879,218.26790516673643,3
Action,081,6.1693572998046875,288.16623259529536,5
Action,083,6.2396464347839355,313.2433358522501,4
Action,085,6.203822612762451,262.8127485056425,3
Action,087,6.039698123931885,238.01594413250027,3
Action,089,6.119532108306885,330.8569353546203,6
Action,091,6.158498287200928,302.79249207148274,2
Action,093,6.254586696624756,395.0247430888931,4
Action,095,6.03970193862915,328.9478309020912,3
Action,097,6.113829612731934,219.4454673952362,1
Action,099,6.23207950592041,288.2682243277507,4
Action,101,6.150282382965088,303.63536813999696,1
Action,103,6.247139930725098,331.4934033205186,1
Action,105,6.014742374420166,273.8699061614356,1
Action,107,6.1557769775390625,299.9263388875698,1
Action,109,6.122376441955566,280.4899727298437,1
Action,111,6.099452018737793,232.37150078988165,6
Action,113,6.096557140350342,294.5776578285868,1
Action,115,5.979347229003906,222.40547125813995,6
Action,117,6.075987339019775,196.52122501263,8
Action,119,6.030423641204834,277.05514950446144,9
Action,121,6.185418605804443,290.8404765222999,5
Action,123,6.005218505859375,226.96683409595389,7
Action,125,6.042770862579346,210.41098977330822,3
Action,127,6.153038024902344,251.21247899983524,2
Action,129,6.090717315673828,204.37369669256057,1
Action,131,6.07004451751709,324.6130963381019,7
Action,133,6.017907619476318,252.67928036061033,1
Action,135,6.011578559875488,248.2758649782041,2
Action,137,6.190714359283447,310.3576318870572,2
Action,139,6.084853649139404,295.109604713798,4
Action,141,6.093634605407715,294.7466782828284,4
Action,143,5.9358015060424805,223.38618269829507,3
Action,145,6.002023696899414,267.8009763699101,3
Action,147,6.093636512756348,235.09830339363208,7
Action,149,6.209021091461182,341.79463536819395,3
Action,151,6.198599338531494,255.95944276431413,3
Action,153,6.182761192321777,394.2412207289366,9
Action,155,6.180092811584473,359.79304055445056,8
Action,157,6.244668006896973,254.9906396328361,4
Action,159,6.229546546936035,257.27398483969944,5
Action,161,6.252132415771484,391.4020346631255,4
Action,163,6.048904895782471,306.3328087161305,5
Action,165,5.979351997375488,214.9205660105748,3
Action,167,5.966159343719482,226.5393801771424,1
Action,169,5.9357991218566895,298.15444367166805,7
Action,171,5.969467639923096,236.55094999051826,2
Action,173,6.125196933746338,285.663476954277,4
Action,175,6.141995906829834,308.10475097702476,4
Action,177,6.139211654663086,295.1038326801435,3
Action,179,6.039703845977783,242.88039311210434,6
Action,181,6.2012104988098145,306.21352483771796,1
Action,183,6.119532108306885,259.33584410910424,1
Action,185,6.249644756317139,262.0519914378197,1
Action,187,5.972772598266602,225.51819070085892,3
Action,189,6.174747943878174,326.30555434329295,1
Action,191,6.125199317932129,259.29334440610353,2
Action,193,6.1052374839782715,395.4509188113488,5
Action,195,6.244662761688232,305.3969334506042,5
Action,197,6.190704822540283,308.2068401547489,1
Action,199,6.102346420288086,256.6413375189182,4
Affective,001,6.185415744781494,329.051947091661,6
Affective,003,6.116700649261475,398.9625010850419,11
Affective,005,6.087785720825195,300.8353995753188,2
Affective,007,6.2446699142456055,194.7176561448698,2
Affective,009,6.1280131340026855,337.3468272215548,6
Affective,011,6.1419854164123535,219.43794589498526,5
Affective,013,6.229544639587402,326.0393495594107,1
Affective,015,6.155771732330322,375.53758158328696,3
Affective,017,6.293400764465332,341.3191967773383,7
