category,mean_center_distance,mean_dispersion,mean_entropy,mean_num_peaks,mean_peak_prob,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,delta_entropy,delta_center_distance,delta_num_peaks
Sketch,210.0334961765257,59832.09658996933,6.0235534,3.87,2.977533001285337e-05,14.043610916137697,401.9593066627912,16.3,0.809544095993042,0.2251435281320396,0.697633661031723,8.020057516137697,191.92581048626553,12.43
LowResolution,221.3001170261961,72591.12037420235,5.9083595,3.21,2.9229490628495118e-05,14.018544731140135,436.7357944236248,8.72,0.7161724580265582,0.2046024092673134,0.7183307504653931,8.110185231140136,215.4356773974287,5.510000000000001
Pattern,235.91008140436645,80870.39511353841,6.009696,3.48,2.715304847697553e-05,14.059970703125,417.71066627241055,18.2,0.8968144431710243,0.2870202999393951,0.7496824491024018,8.050274703125,181.8005848680441,14.719999999999999
BlackWhite,249.29702386571427,84980.9672852443,6.0591187,3.6,2.724187854255433e-05,14.03970443725586,449.4484095810934,10.56,1.0378285593166947,0.3068554172355915,0.7758263921737671,7.98058573725586,200.15138571537915,6.960000000000001
Object,255.15492279745868,89920.33567626281,6.0820403,4.17,2.441256825477467e-05,14.027994861602783,426.8507882834407,11.64,0.9185435158014298,0.2792096305763488,0.736544291973114,7.945954561602783,171.695865485982,7.470000000000001
Fractal,255.58608288949003,96973.55720132492,6.0388074,3.0,2.5351997483085145e-05,14.169996337890623,460.46089596452026,16.7,0.7632291842997074,0.2439476556236335,0.700328226685524,8.131188937890624,204.87481307503023,13.7
Random,258.3576491498015,83828.39642831593,6.058243,3.8,2.5128082179435292e-05,13.691918869018554,389.93882944167234,6.38,1.216183987557888,0.3719189799670767,0.800808619260788,7.633675869018554,131.58118029187085,2.58
Noisy,258.3795490257841,97895.02553286224,5.96943,3.84,2.6158139371545984e-05,14.017188529968262,421.3767203583174,10.28,1.045428107380867,0.3322016640366589,0.7778424441814422,8.047758529968263,162.9971713325333,6.4399999999999995
Affective,271.2747918500214,97960.8891274882,6.1507816,3.75,2.67161980173114e-05,14.071738300323489,442.1660656751008,13.14,0.965883304476738,0.281986847429608,0.759880478978157,7.920956700323488,170.8912738250794,9.39
OutdoorNatural,272.044301312228,103661.74926976794,6.0433393,3.39,2.4918648250604747e-05,14.11731746673584,460.4153388490129,9.74,0.8060321331769228,0.2749361638161487,0.7324058723449707,8.073978166735838,188.3710375367849,6.35
LineDrawing,272.2280329875423,103055.31177905288,6.087307,3.38,2.4078523929347283e-05,14.271701126098632,468.63885557544063,18.12,0.5446341043710708,0.1986824943214487,0.6280418503284454,8.184394126098631,196.41082258789834,14.740000000000002
Action,273.1678850194812,101552.14984496783,6.113481,3.64,2.657238334904832e-05,13.992964267730711,436.0215009813486,9.94,1.0896066999435423,0.3243301673194903,0.7819954431056977,7.879483267730711,162.85361596186738,6.299999999999999
Art,277.96270928399804,105552.76026528388,6.1025915,4.28,2.3381093988064092e-05,14.0641676902771,441.2569989843055,11.78,0.927449329122901,0.3201344623903484,0.7472669410705567,7.961576190277101,163.29428970030744,7.499999999999999
Inverted,282.19242853179776,109713.497231455,6.1206913,3.79,2.2920706796867308e-05,14.110161151885986,461.4406755014815,13.14,0.8198916518688202,0.2826917300628422,0.7269658243656159,7.989469851885986,179.24824696968375,9.350000000000001
OutdoorManMade,289.1195587324726,115474.7367419123,6.1164093,3.77,2.3491524507335272e-05,14.101951560974122,468.396774067704,11.2,0.7654559007287025,0.2648268847787111,0.7250184822082519,7.985542260974122,179.27721533523135,7.43
Indoor,298.40022938444474,122587.9663175877,6.12997,4.08,2.103155911754584e-05,14.131579151153565,458.94894931671456,12.76,0.7669107925891876,0.2885533432414828,0.7232079565525055,8.001609151153565,160.54871993226982,8.68
Jumbled,304.1638171515253,125374.15756649636,6.15206,4.08,1.8351759517827304e-05,13.988718681335447,412.1887611839998,11.5,0.9029886198043824,0.3558946756751698,0.75473184466362,7.8366586813354475,108.02494403247454,7.42
Satelite,306.0565384903772,135160.94650106723,6.072556,3.37,2.267509627017717e-05,14.276659183502195,498.0325411086089,13.48,0.6550421166419983,0.2485791099318005,0.6955550813674927,8.204103183502195,191.9760026182317,10.11
Social,308.32565238901054,121167.08082503798,6.2007604,4.01,2.290840755449608e-05,14.127632312774658,454.3226344265393,14.66,0.8940004806965589,0.3050122749617704,0.7523546683788299,7.926871912774658,145.99698203752877,10.65
Cartoon,316.0692690945584,134139.51456062327,6.1421633,4.36,2.22716126791056e-05,14.131601696014403,469.363361883377,10.6,0.8541967928409576,0.2999436152321453,0.7407587563991547,7.989438396014403,153.2940927888186,6.239999999999999
