model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Action,001,0.5,35,4,6,2
deepgazeiie,Action,003,0.5,35,4,9,5
deepgazeiie,Action,005,0.5,35,4,3,1
deepgazeiie,Action,007,0.5,35,4,4,0
deepgazeiie,Action,009,0.5,35,8,3,5
deepgazeiie,Action,011,0.5,35,4,1,3
deepgazeiie,Action,013,0.5,35,24,6,18
deepgazeiie,Action,015,0.5,35,4,1,3
deepgazeiie,Action,017,0.5,35,8,2,6
deepgazeiie,Action,019,0.5,35,16,4,12
deepgazeiie,Action,021,0.5,35,16,8,8
deepgazeiie,Action,023,0.5,35,4,5,1
deepgazeiie,Action,025,0.5,35,8,4,4
deepgazeiie,Action,027,0.5,35,12,3,9
deepgazeiie,Action,029,0.5,35,12,1,11
deepgazeiie,Action,031,0.5,35,20,6,14
deepgazeiie,Action,033,0.5,35,4,4,0
deepgazeiie,Action,035,0.5,35,16,4,12
deepgazeiie,Action,037,0.5,35,16,4,12
deepgazeiie,Action,039,0.5,35,4,6,2
deepgazeiie,Action,041,0.5,35,4,1,3
deepgazeiie,Action,043,0.5,35,12,4,8
deepgazeiie,Action,045,0.5,35,4,1,3
deepgazeiie,Action,047,0.5,35,4,1,3
deepgazeiie,Action,049,0.5,35,4,2,2
deepgazeiie,Action,051,0.5,35,8,6,2
deepgazeiie,Action,053,0.5,35,4,4,0
deepgazeiie,Action,055,0.5,35,4,3,1
deepgazeiie,Action,057,0.5,35,8,3,5
deepgazeiie,Action,059,0.5,35,36,2,34
deepgazeiie,Action,061,0.5,35,8,4,4
deepgazeiie,Action,063,0.5,35,4,3,1
deepgazeiie,Action,065,0.5,35,8,3,5
deepgazeiie,Action,067,0.5,35,8,4,4
deepgazeiie,Action,069,0.5,35,4,4,0
deepgazeiie,Affective,001,0.5,35,20,6,14
deepgazeiie,Affective,003,0.5,35,4,11,7
deepgazeiie,Affective,005,0.5,35,8,2,6
deepgazeiie,Affective,007,0.5,35,4,2,2
deepgazeiie,Affective,009,0.5,35,16,6,10
deepgazeiie,Affective,011,0.5,35,12,5,7
deepgazeiie,Affective,013,0.5,35,8,1,7
deepgazeiie,Affective,015,0.5,35,14,3,11
deepgazeiie,Affective,017,0.5,35,16,7,9
deepgazeiie,Affective,019,0.5,35,4,1,3
deepgazeiie,Affective,021,0.5,35,16,2,14
deepgazeiie,Affective,023,0.5,35,12,9,3
deepgazeiie,Affective,025,0.5,35,12,5,7
deepgazeiie,Affective,027,0.5,35,12,4,8
deepgazeiie,Affective,029,0.5,35,12,3,9
deepgazeiie,Affective,031,0.5,35,4,5,1
deepgazeiie,Affective,033,0.5,35,12,5,7
deepgazeiie,Affective,035,0.5,35,4,2,2
deepgazeiie,Affective,037,0.5,35,8,1,7
deepgazeiie,Affective,039,0.5,35,8,9,1
deepgazeiie,Affective,041,0.5,35,8,4,4
deepgazeiie,Affective,043,0.5,35,8,1,7
deepgazeiie,Affective,045,0.5,35,8,4,4
deepgazeiie,Affective,047,0.5,35,4,8,4
deepgazeiie,Affective,049,0.5,35,8,3,5
deepgazeiie,Affective,051,0.5,35,4,7,3
deepgazeiie,Affective,053,0.5,35,8,6,2
deepgazeiie,Affective,055,0.5,35,8,5,3
deepgazeiie,Affective,057,0.5,35,4,1,3
deepgazeiie,Affective,059,0.5,35,8,2,6
deepgazeiie,Affective,061,0.5,35,8,2,6
deepgazeiie,Affective,063,0.5,35,8,4,4
deepgazeiie,Affective,065,0.5,35,4,3,1
deepgazeiie,Affective,067,0.5,35,4,4,0
deepgazeiie,Affective,069,0.5,35,8,3,5
deepgazeiie,Art,001,0.5,35,12,5,7
deepgazeiie,Art,003,0.5,35,12,10,2
deepgazeiie,Art,005,0.5,35,8,5,3
deepgazeiie,Art,007,0.5,35,32,2,30
deepgazeiie,Art,009,0.5,35,52,4,48
deepgazeiie,Art,011,0.5,35,4,4,0
deepgazeiie,Art,013,0.5,35,36,3,33
deepgazeiie,Art,015,0.5,35,20,2,18
deepgazeiie,Art,017,0.5,35,8,7,1
deepgazeiie,Art,019,0.5,35,20,5,15
deepgazeiie,Art,021,0.5,35,8,1,7
deepgazeiie,Art,023,0.5,35,4,3,1
deepgazeiie,Art,025,0.5,35,24,5,19
deepgazeiie,Art,027,0.5,35,12,2,10
deepgazeiie,Art,029,0.5,35,4,4,0
deepgazeiie,Art,031,0.5,35,4,1,3
deepgazeiie,Art,033,0.5,35,12,2,10
deepgazeiie,Art,035,0.5,35,28,1,27
deepgazeiie,Art,037,0.5,35,12,6,6
deepgazeiie,Art,039,0.5,35,36,3,33
deepgazeiie,Art,041,0.5,35,4,1,3
deepgazeiie,Art,043,0.5,35,40,2,38
deepgazeiie,Art,045,0.5,35,8,1,7
deepgazeiie,Art,047,0.5,35,4,2,2
deepgazeiie,Art,049,0.5,35,8,1,7
deepgazeiie,Art,051,0.5,35,4,14,10
deepgazeiie,Art,053,0.5,35,16,2,14
deepgazeiie,Art,055,0.5,35,4,3,1
deepgazeiie,Art,057,0.5,35,12,12,0
deepgazeiie,Art,059,0.5,35,4,4,0
