model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Action,0.6,25,7.2
deepgazeiie,Affective,0.6,25,7.428571428571429
deepgazeiie,Art,0.6,25,10.857142857142858
deepgazeiie,BlackWhite,0.6,25,7.6571428571428575
deepgazeiie,Cartoon,0.6,25,10.514285714285714
deepgazeiie,Fractal,0.6,25,8.914285714285715
deepgazeiie,Indoor,0.6,25,10.628571428571428
deepgazeiie,Inverted,0.6,25,9.82857142857143
deepgazeiie,Jumbled,0.6,25,9.371428571428572
deepgazeiie,LineDrawing,0.6,25,9.371428571428572
deepgazeiie,LowResolution,0.6,25,8.685714285714285
deepgazeiie,Noisy,0.6,25,9.371428571428572
deepgazeiie,Object,0.6,25,9.257142857142858
deepgazeiie,OutdoorManMade,0.6,25,9.028571428571428
deepgazeiie,OutdoorNatural,0.6,25,11.428571428571429
deepgazeiie,Pattern,0.6,25,14.285714285714286
deepgazeiie,Random,0.6,25,9.257142857142858
deepgazeiie,Satelite,0.6,25,11.428571428571429
deepgazeiie,Sketch,0.6,25,8.228571428571428
deepgazeiie,Social,0.6,25,8.342857142857143
samresnet,Action,0.6,25,50.44
samresnet,Affective,0.6,25,53.5
samresnet,Art,0.6,25,71.07
samresnet,BlackWhite,0.6,25,63.07
samresnet,Cartoon,0.6,25,75.42
samresnet,Fractal,0.6,25,85.26
samresnet,Indoor,0.6,25,82.77
samresnet,Inverted,0.6,25,89.41
samresnet,Jumbled,0.6,25,76.21
samresnet,LineDrawing,0.6,25,83.6
samresnet,LowResolution,0.6,25,82.42
samresnet,Noisy,0.6,25,78.58
samresnet,Object,0.6,25,69.55
samresnet,OutdoorManMade,0.6,25,74.94
samresnet,OutdoorNatural,0.6,25,66.51
samresnet,Pattern,0.6,25,80.99
samresnet,Random,0.6,25,72.13
samresnet,Satelite,0.6,25,88.73
samresnet,Sketch,0.6,25,65.68
samresnet,Social,0.6,25,40.33
