model_name,category,image,threshold_ratio,neighborhood,model_num_peaks
deepgazeiie,Action,001,0.7,25,4
deepgazeiie,Action,003,0.7,25,4
deepgazeiie,Action,005,0.7,25,4
deepgazeiie,Action,007,0.7,25,4
deepgazeiie,Action,009,0.7,25,4
deepgazeiie,Action,011,0.7,25,4
deepgazeiie,Action,013,0.7,25,16
deepgazeiie,Action,015,0.7,25,4
deepgazeiie,Action,017,0.7,25,4
deepgazeiie,Action,019,0.7,25,16
deepgazeiie,Action,021,0.7,25,12
deepgazeiie,Action,023,0.7,25,4
deepgazeiie,Action,025,0.7,25,8
deepgazeiie,Action,027,0.7,25,4
deepgazeiie,Action,029,0.7,25,8
deepgazeiie,Action,031,0.7,25,12
deepgazeiie,Action,033,0.7,25,4
deepgazeiie,Action,035,0.7,25,8
deepgazeiie,Action,037,0.7,25,8
deepgazeiie,Action,039,0.7,25,4
deepgazeiie,Action,041,0.7,25,4
deepgazeiie,Action,043,0.7,25,8
deepgazeiie,Action,045,0.7,25,4
deepgazeiie,Action,047,0.7,25,4
deepgazeiie,Action,049,0.7,25,4
deepgazeiie,Action,051,0.7,25,8
deepgazeiie,Action,053,0.7,25,4
deepgazeiie,Action,055,0.7,25,4
deepgazeiie,Action,057,0.7,25,8
deepgazeiie,Action,059,0.7,25,8
deepgazeiie,Action,061,0.7,25,4
deepgazeiie,Action,063,0.7,25,4
deepgazeiie,Action,065,0.7,25,8
deepgazeiie,Action,067,0.7,25,4
deepgazeiie,Action,069,0.7,25,4
deepgazeiie,Affective,001,0.7,25,12
deepgazeiie,Affective,003,0.7,25,4
deepgazeiie,Affective,005,0.7,25,4
deepgazeiie,Affective,007,0.7,25,4
deepgazeiie,Affective,009,0.7,25,8
deepgazeiie,Affective,011,0.7,25,4
deepgazeiie,Affective,013,0.7,25,8
deepgazeiie,Affective,015,0.7,25,12
deepgazeiie,Affective,017,0.7,25,12
deepgazeiie,Affective,019,0.7,25,4
deepgazeiie,Affective,021,0.7,25,12
deepgazeiie,Affective,023,0.7,25,8
deepgazeiie,Affective,025,0.7,25,8
deepgazeiie,Affective,027,0.7,25,4
deepgazeiie,Affective,029,0.7,25,12
