model_name,category,threshold_ratio,neighborhood,mean_delta_num_peaks
samresnet,Action,0.5,15,48.26
samresnet,Action,0.5,25,48.26
samresnet,Action,0.5,35,48.26
samresnet,Action,0.6,15,48.26
samresnet,Action,0.6,25,48.26
samresnet,Action,0.6,35,48.26
samresnet,Action,0.7,15,48.26
samresnet,Action,0.7,25,48.26
samresnet,Action,0.7,35,48.26
samresnet,Affective,0.5,15,51.25
samresnet,Affective,0.5,25,51.25
samresnet,Affective,0.5,35,51.25
samresnet,Affective,0.6,15,51.25
samresnet,Affective,0.6,25,51.25
samresnet,Affective,0.6,35,51.25
samresnet,Affective,0.7,15,51.25
samresnet,Affective,0.7,25,51.25
samresnet,Affective,0.7,35,51.25
samresnet,Art,0.5,15,68.05
samresnet,Art,0.5,25,68.05
samresnet,Art,0.5,35,68.05
samresnet,Art,0.6,15,68.05
samresnet,Art,0.6,25,68.05
samresnet,Art,0.6,35,68.05
samresnet,Art,0.7,15,68.05
samresnet,Art,0.7,25,68.05
samresnet,Art,0.7,35,68.05
samresnet,BlackWhite,0.5,15,60.51
samresnet,BlackWhite,0.5,25,60.51
samresnet,BlackWhite,0.5,35,60.51
samresnet,BlackWhite,0.6,15,60.51
samresnet,BlackWhite,0.6,25,60.51
samresnet,BlackWhite,0.6,35,60.51
samresnet,BlackWhite,0.7,15,60.51
samresnet,BlackWhite,0.7,25,60.51
samresnet,BlackWhite,0.7,35,60.51
samresnet,Cartoon,0.5,15,72.58
samresnet,Cartoon,0.5,25,72.58
samresnet,Cartoon,0.5,35,72.58
samresnet,Cartoon,0.6,15,72.58
samresnet,Cartoon,0.6,25,72.58
samresnet,Cartoon,0.6,35,72.58
samresnet,Cartoon,0.7,15,72.58
samresnet,Cartoon,0.7,25,72.58
samresnet,Cartoon,0.7,35,72.58
samresnet,Fractal,0.5,15,83.38
samresnet,Fractal,0.5,25,83.38
samresnet,Fractal,0.5,35,83.38
samresnet,Fractal,0.6,15,83.38
samresnet,Fractal,0.6,25,83.38
samresnet,Fractal,0.6,35,83.38
samresnet,Fractal,0.7,15,83.38
samresnet,Fractal,0.7,25,83.38
samresnet,Fractal,0.7,35,83.38
samresnet,Indoor,0.5,15,79.11
samresnet,Indoor,0.5,25,79.11
samresnet,Indoor,0.5,35,79.11
samresnet,Indoor,0.6,15,79.11
samresnet,Indoor,0.6,25,79.11
samresnet,Indoor,0.6,35,79.11
samresnet,Indoor,0.7,15,79.11
samresnet,Indoor,0.7,25,79.11
samresnet,Indoor,0.7,35,79.11
samresnet,Inverted,0.5,15,86.14
samresnet,Inverted,0.5,25,86.14
samresnet,Inverted,0.5,35,86.14
samresnet,Inverted,0.6,15,86.14
samresnet,Inverted,0.6,25,86.14
samresnet,Inverted,0.6,35,86.14
samresnet,Inverted,0.7,15,86.14
samresnet,Inverted,0.7,25,86.14
samresnet,Inverted,0.7,35,86.14
samresnet,Jumbled,0.5,15,73.19
samresnet,Jumbled,0.5,25,73.19
samresnet,Jumbled,0.5,35,73.19
samresnet,Jumbled,0.6,15,73.19
samresnet,Jumbled,0.6,25,73.19
samresnet,Jumbled,0.6,35,73.19
samresnet,Jumbled,0.7,15,73.19
samresnet,Jumbled,0.7,25,73.19
samresnet,Jumbled,0.7,35,73.19
samresnet,LineDrawing,0.5,15,80.96
samresnet,LineDrawing,0.5,25,80.96
samresnet,LineDrawing,0.5,35,80.96
samresnet,LineDrawing,0.6,15,80.96
samresnet,LineDrawing,0.6,25,80.96
samresnet,LineDrawing,0.6,35,80.96
samresnet,LineDrawing,0.7,15,80.96
samresnet,LineDrawing,0.7,25,80.96
samresnet,LineDrawing,0.7,35,80.96
samresnet,LowResolution,0.5,15,80.01
samresnet,LowResolution,0.5,25,80.01
samresnet,LowResolution,0.5,35,80.01
samresnet,LowResolution,0.6,15,80.01
samresnet,LowResolution,0.6,25,80.01
samresnet,LowResolution,0.6,35,80.01
samresnet,LowResolution,0.7,15,80.01
samresnet,LowResolution,0.7,25,80.01
samresnet,LowResolution,0.7,35,80.01
samresnet,Noisy,0.5,15,75.72
samresnet,Noisy,0.5,25,75.72
samresnet,Noisy,0.5,35,75.72
samresnet,Noisy,0.6,15,75.72
samresnet,Noisy,0.6,25,75.72
samresnet,Noisy,0.6,35,75.72
samresnet,Noisy,0.7,15,75.72
samresnet,Noisy,0.7,25,75.72
samresnet,Noisy,0.7,35,75.72
samresnet,Object,0.5,15,66.68
samresnet,Object,0.5,25,66.68
samresnet,Object,0.5,35,66.68
samresnet,Object,0.6,15,66.68
samresnet,Object,0.6,25,66.68
samresnet,Object,0.6,35,66.68
samresnet,Object,0.7,15,66.68
samresnet,Object,0.7,25,66.68
samresnet,Object,0.7,35,66.68
samresnet,OutdoorManMade,0.5,15,72.77
samresnet,OutdoorManMade,0.5,25,72.77
samresnet,OutdoorManMade,0.5,35,72.77
samresnet,OutdoorManMade,0.6,15,72.77
samresnet,OutdoorManMade,0.6,25,72.77
samresnet,OutdoorManMade,0.6,35,72.77
samresnet,OutdoorManMade,0.7,15,72.77
samresnet,OutdoorManMade,0.7,25,72.77
samresnet,OutdoorManMade,0.7,35,72.77
samresnet,OutdoorNatural,0.5,15,64.02
samresnet,OutdoorNatural,0.5,25,64.02
samresnet,OutdoorNatural,0.5,35,64.02
samresnet,OutdoorNatural,0.6,15,64.02
samresnet,OutdoorNatural,0.6,25,64.02
samresnet,OutdoorNatural,0.6,35,64.02
samresnet,OutdoorNatural,0.7,15,64.02
samresnet,OutdoorNatural,0.7,25,64.02
samresnet,OutdoorNatural,0.7,35,64.02
samresnet,Pattern,0.5,15,78.27
samresnet,Pattern,0.5,25,78.27
samresnet,Pattern,0.5,35,78.27
samresnet,Pattern,0.6,15,78.27
samresnet,Pattern,0.6,25,78.27
samresnet,Pattern,0.6,35,78.27
samresnet,Pattern,0.7,15,78.27
samresnet,Pattern,0.7,25,78.27
samresnet,Pattern,0.7,35,78.27
samresnet,Random,0.5,15,69.37
samresnet,Random,0.5,25,69.37
samresnet,Random,0.5,35,69.37
samresnet,Random,0.6,15,69.37
samresnet,Random,0.6,25,69.37
samresnet,Random,0.6,35,69.37
samresnet,Random,0.7,15,69.37
samresnet,Random,0.7,25,69.37
samresnet,Random,0.7,35,69.37
samresnet,Satelite,0.5,15,86.3
samresnet,Satelite,0.5,25,86.3
samresnet,Satelite,0.5,35,86.3
samresnet,Satelite,0.6,15,86.3
samresnet,Satelite,0.6,25,86.3
samresnet,Satelite,0.6,35,86.3
samresnet,Satelite,0.7,15,86.3
samresnet,Satelite,0.7,25,86.3
samresnet,Satelite,0.7,35,86.3
samresnet,Sketch,0.5,15,62.91
samresnet,Sketch,0.5,25,62.91
samresnet,Sketch,0.5,35,62.91
samresnet,Sketch,0.6,15,62.91
samresnet,Sketch,0.6,25,62.91
samresnet,Sketch,0.6,35,62.91
samresnet,Sketch,0.7,15,62.91
samresnet,Sketch,0.7,25,62.91
samresnet,Sketch,0.7,35,62.91
samresnet,Social,0.5,15,38.28
samresnet,Social,0.5,25,38.28
samresnet,Social,0.5,35,38.28
samresnet,Social,0.6,15,38.28
samresnet,Social,0.6,25,38.28
samresnet,Social,0.6,35,38.28
samresnet,Social,0.7,15,38.28
samresnet,Social,0.7,25,38.28
samresnet,Social,0.7,35,38.28
