model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
samresnet,Action,0.5,15,50.44
samresnet,Action,0.5,25,50.44
samresnet,Action,0.5,35,50.44
samresnet,Action,0.6,15,50.44
samresnet,Action,0.6,25,50.44
samresnet,Action,0.6,35,50.44
samresnet,Action,0.7,15,50.44
samresnet,Action,0.7,25,50.44
samresnet,Action,0.7,35,50.44
samresnet,Affective,0.5,15,53.5
samresnet,Affective,0.5,25,53.5
samresnet,Affective,0.5,35,53.5
samresnet,Affective,0.6,15,53.5
samresnet,Affective,0.6,25,53.5
samresnet,Affective,0.6,35,53.5
samresnet,Affective,0.7,15,53.5
samresnet,Affective,0.7,25,53.5
samresnet,Affective,0.7,35,53.5
samresnet,Art,0.5,15,71.07
samresnet,Art,0.5,25,71.07
samresnet,Art,0.5,35,71.07
samresnet,Art,0.6,15,71.07
samresnet,Art,0.6,25,71.07
samresnet,Art,0.6,35,71.07
samresnet,Art,0.7,15,71.07
samresnet,Art,0.7,25,71.07
samresnet,Art,0.7,35,71.07
samresnet,BlackWhite,0.5,15,63.07
samresnet,BlackWhite,0.5,25,63.07
samresnet,BlackWhite,0.5,35,63.07
samresnet,BlackWhite,0.6,15,63.07
samresnet,BlackWhite,0.6,25,63.07
samresnet,BlackWhite,0.6,35,63.07
samresnet,BlackWhite,0.7,15,63.07
samresnet,BlackWhite,0.7,25,63.07
samresnet,BlackWhite,0.7,35,63.07
samresnet,Cartoon,0.5,15,75.42
samresnet,Cartoon,0.5,25,75.42
samresnet,Cartoon,0.5,35,75.42
samresnet,Cartoon,0.6,15,75.42
samresnet,Cartoon,0.6,25,75.42
samresnet,Cartoon,0.6,35,75.42
samresnet,Cartoon,0.7,15,75.42
samresnet,Cartoon,0.7,25,75.42
samresnet,Cartoon,0.7,35,75.42
samresnet,Fractal,0.5,15,85.26
samresnet,Fractal,0.5,25,85.26
samresnet,Fractal,0.5,35,85.26
samresnet,Fractal,0.6,15,85.26
samresnet,Fractal,0.6,25,85.26
samresnet,Fractal,0.6,35,85.26
samresnet,Fractal,0.7,15,85.26
samresnet,Fractal,0.7,25,85.26
samresnet,Fractal,0.7,35,85.26
samresnet,Indoor,0.5,15,82.77
samresnet,Indoor,0.5,25,82.77
samresnet,Indoor,0.5,35,82.77
samresnet,Indoor,0.6,15,82.77
samresnet,Indoor,0.6,25,82.77
samresnet,Indoor,0.6,35,82.77
