category,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,13.14920729637146,268.7979742284544,91.04,2.695904264450073,0.780415489662808,0.8961918717622757
Affective,13.044072227478027,259.7649205074175,78.77,2.8988569927215577,0.8040473268715777,0.8986631608009339
Art,13.253349323272705,263.1697874774287,90.16,2.3983082795143127,0.7677129091264787,0.8782333874702454
BlackWhite,13.085130891799928,242.5427877187266,89.81,2.8788287436962126,0.7993836341550588,0.8990386795997619
Cartoon,13.45172872543335,306.11276261446295,109.94,2.208071565628052,0.7412821020308975,0.8675446003675461
Fractal,13.241000308990479,247.5139999567948,111.49,2.618397749662399,0.798954409550916,0.8781805568933487
Indoor,13.41077564239502,289.3199749784828,101.11,2.1680386376380922,0.7512660612444794,0.8670901125669479
Inverted,13.384543533325195,277.1619937512816,107.96,2.2564649057388304,0.7564707552351553,0.8712575644254684
Jumbled,13.514762411117553,290.2199281796152,103.65,1.9290547943115235,0.7325623221895348,0.8510036581754684
LineDrawing,13.339324512481689,260.3414690924833,101.07,2.32225102186203,0.7571723330195453,0.8737722820043564
LowResolution,12.986373147964478,210.77669651413606,96.6,3.0211213099956513,0.8180512182193937,0.90107750415802
Noisy,13.249958429336548,247.66384475295789,86.4,2.538505643606186,0.7692221247609444,0.8799850338697434
Object,13.038295049667358,246.23311830505168,113.62,2.75764603972435,0.8023981055602214,0.9002758306264877
OutdoorManMade,13.360773801803589,275.6991527263359,92.16,2.2591485953330994,0.7446751814034481,0.8686768358945847
OutdoorNatural,13.320289478302001,263.0379565628322,95.77,2.3917518866062166,0.759805614224049,0.8734327578544616
Pattern,13.154661378860474,227.552973109298,92.26,2.7279993152618407,0.7861789384297492,0.8882910716533661
Random,13.090966358184815,251.83123488254907,112.08,2.666831718683243,0.7926046995859544,0.9037465482950211
Satelite,13.537249879837036,293.2209917978274,94.66,2.104228764772415,0.7410333090549912,0.8417455011606216
Sketch,12.68192894935608,200.65485800579918,103.36,3.3203116631507874,0.8387774417981325,0.9252646464109421
Social,13.297881832122803,300.8453517995447,97.21,2.4208462762832643,0.7689850665795243,0.883529012799263
