model_name,benchmark_metric,structural_metric,spearman_rho,p_value,n_pairs
center_bias_baseline,model_nss,delta_entropy,0.45211414027823527,1.5490877752673726e-51,1000
center_bias_baseline,model_nss,delta_num_peaks,-0.1129371578373952,0.0003457387820709534,1000
center_bias_baseline,model_nss,delta_center_distance,-0.1665628905628906,1.1730792841364138e-07,1000
center_bias_baseline,model_cc,delta_entropy,0.2135577769401454,8.871696945993605e-12,1000
center_bias_baseline,model_cc,delta_num_peaks,0.07705835099947528,0.014794281741809193,1000
center_bias_baseline,model_cc,delta_center_distance,-0.3040421800421801,7.844633175861777e-23,1000
center_bias_baseline,model_auc,delta_entropy,0.38978493952691246,1.2470409089609547e-37,1000
center_bias_baseline,model_auc,delta_num_peaks,-0.060955933255952575,0.05398248974153947,1000
center_bias_baseline,model_auc,delta_center_distance,-0.19201640401640405,9.267116418372092e-10,1000
deepgazeiie,model_nss,delta_entropy,-0.44008921301005566,1.6037742988569668e-34,700
deepgazeiie,model_nss,delta_num_peaks,-0.15691756685388988,3.0448085098102255e-05,700
deepgazeiie,model_nss,delta_center_distance,-0.23530606622229255,2.915615340833474e-10,700
deepgazeiie,model_cc,delta_entropy,-0.37315318136217773,1.5048030704996868e-24,700
deepgazeiie,model_cc,delta_num_peaks,-0.11294905128098014,0.002766195824698386,700
deepgazeiie,model_cc,delta_center_distance,-0.2398107984476936,1.297377463201816e-10,700
deepgazeiie,model_auc,delta_entropy,-0.4888270500843587,2.521015423196088e-43,700
deepgazeiie,model_auc,delta_num_peaks,-0.11272174261337414,0.0028216278900129316,700
deepgazeiie,model_auc,delta_center_distance,-0.2888752950807771,6.386403673742129e-15,700
samresnet,model_nss,delta_entropy,-0.731005607005607,7.77637247310922e-168,1000
samresnet,model_nss,delta_num_peaks,-0.12835109033720768,4.689445821323277e-05,1000
samresnet,model_nss,delta_center_distance,-0.22119002919002922,1.5086706466425838e-12,1000
samresnet,model_cc,delta_entropy,-0.6680851640851642,2.858212840034072e-130,1000
samresnet,model_cc,delta_num_peaks,-0.12922818297977057,4.155846392270523e-05,1000
samresnet,model_cc,delta_center_distance,-0.2667849507849508,9.328445722674643e-18,1000
samresnet,model_auc,delta_entropy,-0.7297039897039898,5.951666734084327e-167,1000
samresnet,model_auc,delta_num_peaks,-0.034464037902365734,0.2762381531622795,1000
samresnet,model_auc,delta_center_distance,-0.3040665280665281,7.780419544763497e-23,1000
transalnet,model_nss,delta_entropy,-0.5578462498462499,7.339230955774661e-83,1000
transalnet,model_nss,delta_num_peaks,-0.2487454638819366,1.4401668256184473e-15,1000
transalnet,model_nss,delta_center_distance,-0.4688590568590568,8.55970518254372e-56,1000
transalnet,model_cc,delta_entropy,-0.5624358824358825,1.7312821502886522e-84,1000
transalnet,model_cc,delta_num_peaks,-0.24946113725771935,1.1880120941156443e-15,1000
transalnet,model_cc,delta_center_distance,-0.6375142095142096,3.645021715107133e-115,1000
transalnet,model_auc,delta_entropy,-0.5623409143409144,1.8719659069275297e-84,1000
transalnet,model_auc,delta_num_peaks,-0.31165476036918616,5.780234667648897e-24,1000
transalnet,model_auc,delta_center_distance,-0.4505946665946666,3.6713549701610713e-51,1000
