model_name,category,benchmark_metric,structural_metric,spearman_rho,p_value,n_pairs
center_bias_baseline,Action,model_nss,delta_entropy,0.6334213685474189,7.935758706387009e-07,50
center_bias_baseline,Action,model_nss,delta_num_peaks,-0.2978183514189122,0.03568003851545436,50
center_bias_baseline,Action,model_nss,delta_center_distance,0.02424969987995198,0.8672451225085609,50
center_bias_baseline,Action,model_cc,delta_entropy,0.2669387755102041,0.06093543579934507,50
center_bias_baseline,Action,model_cc,delta_num_peaks,0.16389343786431723,0.25541276127413237,50
center_bias_baseline,Action,model_cc,delta_center_distance,-0.2773109243697479,0.05121012257955552,50
center_bias_baseline,Action,model_auc,delta_entropy,0.6658823529411765,1.313393817573834e-07,50
center_bias_baseline,Action,model_auc,delta_num_peaks,-0.28479923839911475,0.04500311626311332,50
center_bias_baseline,Action,model_auc,delta_center_distance,-0.025498199279711888,0.8604764442929573,50
center_bias_baseline,Affective,model_nss,delta_entropy,0.20547418967587033,0.1522872949936741,50
center_bias_baseline,Affective,model_nss,delta_num_peaks,0.013475134026710222,0.9260006839284051,50
center_bias_baseline,Affective,model_nss,delta_center_distance,-0.17887154861944776,0.213914031814904,50
center_bias_baseline,Affective,model_cc,delta_entropy,-0.10146458583433372,0.4832225585628216,50
center_bias_baseline,Affective,model_cc,delta_num_peaks,0.23247029781331735,0.10425212911956812,50
center_bias_baseline,Affective,model_cc,delta_center_distance,-0.2819207683073229,0.04731210287402555,50
center_bias_baseline,Affective,model_auc,delta_entropy,0.18108043217286915,0.20821806179258898,50
center_bias_baseline,Affective,model_auc,delta_num_peaks,-0.013038888680521762,0.9283900015075987,50
center_bias_baseline,Affective,model_auc,delta_center_distance,-0.200672268907563,0.16231202694319807,50
center_bias_baseline,Art,model_nss,delta_entropy,0.3326850585606837,0.018244599042609225,50
center_bias_baseline,Art,model_nss,delta_num_peaks,0.0028086803985469286,0.9845554609483195,50
center_bias_baseline,Art,model_nss,delta_center_distance,-0.38093637454981993,0.006348074180735546,50
center_bias_baseline,Art,model_cc,delta_entropy,0.1723930947218323,0.23124455145195538,50
center_bias_baseline,Art,model_cc,delta_num_peaks,0.20566320090739318,0.15190226221893494,50
center_bias_baseline,Art,model_cc,delta_center_distance,-0.3839135654261705,0.005916771742462638,50
center_bias_baseline,Art,model_auc,delta_entropy,0.22627193936748574,0.11408714148430758,50
center_bias_baseline,Art,model_auc,delta_num_peaks,0.07171820121117244,0.6206454530541551,50
center_bias_baseline,Art,model_auc,delta_center_distance,-0.4085954381752701,0.0032201950191209335,50
center_bias_baseline,BlackWhite,model_nss,delta_entropy,0.38458583433373345,0.005822997523328516,50
center_bias_baseline,BlackWhite,model_nss,delta_num_peaks,-0.32095658676146155,0.02305049302404946,50
center_bias_baseline,BlackWhite,model_nss,delta_center_distance,-0.20211284513805522,0.15925529490958054,50
center_bias_baseline,BlackWhite,model_cc,delta_entropy,0.18665066026410562,0.19432939839925134,50
center_bias_baseline,BlackWhite,model_cc,delta_num_peaks,0.06729813425949625,0.6423893970546892,50
center_bias_baseline,BlackWhite,model_cc,delta_center_distance,-0.25214885954381755,0.07730662659160212,50
center_bias_baseline,BlackWhite,model_auc,delta_entropy,0.4042737094837935,0.003593984342005475,50
center_bias_baseline,BlackWhite,model_auc,delta_num_peaks,-0.27849350928368966,0.05018615024642055,50
center_bias_baseline,BlackWhite,model_auc,delta_center_distance,-0.2188235294117647,0.12682320195311292,50
center_bias_baseline,Cartoon,model_nss,delta_entropy,0.273860116768415,0.05429524126004281,50
center_bias_baseline,Cartoon,model_nss,delta_num_peaks,-0.17107872668341323,0.2348751944552102,50
center_bias_baseline,Cartoon,model_nss,delta_center_distance,-0.7250420168067226,2.610682860131544e-09,50
