category,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,13.587533950805664,265.9974553741142,1.0,1.718609848022461,0.5144316799666084,0.8480393922328949
Affective,13.587533950805664,265.9974553741142,1.0,1.6732607078552246,0.48190643843195347,0.8398980104923248
Art,13.587533950805664,265.9974553741142,1.0,1.6164313292503356,0.5549885966615311,0.8348503971099853
BlackWhite,13.587533950805664,265.9974553741142,1.0,1.6419501078128815,0.4856321956077247,0.8388973045349121
Cartoon,13.587533950805664,265.9974553741142,1.0,1.4706929957866668,0.5059905902824611,0.8063508582115173
Fractal,13.587533950805664,265.9974553741142,1.0,1.848132200241089,0.5868504987133127,0.8598892307281494
Indoor,13.587533950805664,265.9974553741142,1.0,1.4217909049987794,0.5202189692516158,0.8049803161621094
Inverted,13.587533950805664,265.9974553741142,1.0,1.6072956597805024,0.5567020800770042,0.8315068113803864
Jumbled,13.587533950805664,265.9974553741142,1.0,1.4061003065109252,0.5531895921095678,0.8190813374519348
LineDrawing,13.587533950805664,265.9974553741142,1.0,1.6289866769313812,0.5724300645527349,0.8366651105880737
LowResolution,13.587533950805664,265.9974553741142,1.0,2.0859230184555053,0.588879897527829,0.8864684283733368
Noisy,13.587533950805664,265.9974553741142,1.0,1.8157688617706298,0.5810708624450447,0.8529284989833832
Object,13.587533950805664,265.9974553741142,1.0,1.8076361858844756,0.5534626048533908,0.8592626404762268
OutdoorManMade,13.587533950805664,265.9974553741142,1.0,1.6196756315231324,0.5498920320040487,0.8284490120410919
OutdoorNatural,13.587533950805664,265.9974553741142,1.0,1.6475436878204346,0.5601284656446919,0.8388731491565704
Pattern,13.587533950805664,265.9974553741142,1.0,1.9333266282081605,0.6073434115754488,0.87578941822052
Random,13.587533950805664,265.9974553741142,1.0,1.7008138859272004,0.5315166066263274,0.8550840210914612
Satelite,13.587533950805664,265.9974553741142,1.0,1.4706192672252656,0.5486730231588248,0.7910685193538666
Sketch,13.587533950805664,265.9974553741142,1.0,2.122580292224884,0.5681754995776114,0.9034497773647309
Social,13.587533950805664,265.9974553741142,1.0,1.3926693415641784,0.4605695921631909,0.8123126351833343
