category,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,13.149790191650391,265.86074005334405,97.3,2.737989776134491,0.7958060122095438,0.8948575592041016
Affective,13.056640148162842,263.7403665151833,74.72,2.9444392776489257,0.82241854686821,0.8952059972286225
Art,13.275899105072021,264.13249296164685,79.84,2.3359817385673525,0.779179979965953,0.8724761426448822
BlackWhite,13.153015403747558,265.29080391798345,86.62,2.7801781129837035,0.796801485685991,0.8897711575031281
Cartoon,13.436879119873048,299.6268378966551,111.52,2.27855046749115,0.7668354791140503,0.8696423280239105
Fractal,13.252276153564454,246.5315544879424,107.82,2.6267462515830995,0.8105275792595034,0.8773620522022247
Indoor,13.444219875335694,297.20264362199015,107.56,2.1387977266311644,0.7627449425543147,0.8608233439922333
Inverted,13.370911350250244,278.70898695134247,98.24,2.3267621326446535,0.7823640410348244,0.8689400315284729
Jumbled,13.511224613189697,287.769921117298,110.3,1.925202350616455,0.7431042746422791,0.8507051146030427
LineDrawing,13.395389728546142,268.69593978648805,93.26,2.2429948091506957,0.7714786657856254,0.8661971926689148
LowResolution,12.995872287750244,213.15871577641752,105.54,3.031114625930786,0.8343912670538,0.8973663628101349
Noisy,13.265223598480224,249.08474308433716,80.56,2.533359580039978,0.791599451615796,0.8770768237113953
Object,13.072124862670899,250.75277627876076,98.22,2.7677245783805846,0.8193214156361005,0.8984219253063201
OutdoorManMade,13.317436923980713,268.11847990895666,94.9,2.3393431401252744,0.7741289042915781,0.8696970772743225
OutdoorNatural,13.31435552597046,264.258890773117,98.02,2.336907546520233,0.772793481234049,0.8708724009990693
Pattern,13.201380996704101,231.32739293124305,87.1,2.6138319182395935,0.7968828565609455,0.8829359877109527
Random,13.0752384185791,256.7362904621965,90.22,2.6837476658821107,0.8116558264094409,0.8992570388317108
Satelite,13.559097423553467,300.0443169835734,107.24,2.078734424114227,0.7609377846974126,0.8329428601264953
Sketch,12.676117057800292,204.12775779570097,103.18,3.2921498441696166,0.8518211793931877,0.9224769675731659
Social,13.275071010589599,297.75397070341273,93.56,2.42928297996521,0.7828764124316601,0.8841105151176453
