category,image,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,001,12.916919708251953,241.95058203220913,59,3.2829771041870117,0.8417847097827653,0.9174206256866455
Action,003,13.479214668273926,319.67054272181105,268,2.226107597351074,0.7213289007076706,0.8881089687347412
Action,005,12.71644401550293,236.6020354009552,1,3.426622152328491,0.842385363057069,0.9048756957054138
Action,007,13.32837200164795,269.57982447358927,117,2.2365076541900635,0.7425683879507904,0.8893171548843384
Action,009,13.326401710510254,288.23420982783546,143,2.8408896923065186,0.7769211270896174,0.8972207307815552
Action,011,12.941319465637207,263.72123718684884,24,3.1090478897094727,0.8194604415797421,0.887662410736084
Action,013,13.204822540283203,263.67111702218574,16,1.9096533060073853,0.6649479951687449,0.8738269209861755
Action,015,13.098368644714355,253.68957847467158,53,3.0458950996398926,0.8432485572977683,0.8773564696311951
Action,017,13.327624320983887,278.42621684868953,116,2.1871986389160156,0.690830107774471,0.8836380839347839
Action,019,13.441376686096191,289.6337625349061,57,2.111771821975708,0.7751666876412396,0.8816042542457581
Action,021,13.62027645111084,369.83564708627284,504,1.970974326133728,0.757902645908174,0.8787697553634644
Action,023,13.339714050292969,308.6080017633307,301,2.362511396408081,0.762857857158419,0.887813150882721
Action,025,13.38981819152832,310.6163186156485,223,2.106983184814453,0.7403023632229802,0.8637157678604126
Action,027,13.448761940002441,291.72559713675656,118,2.03517484664917,0.7254542951583319,0.8618848919868469
Action,029,13.143121719360352,247.55606747044655,67,2.674543857574463,0.8113421313237896,0.8877959251403809
Action,031,13.40684986114502,309.88278045290485,7,2.319838523864746,0.8086987096191062,0.8951950073242188
Action,033,13.019156455993652,251.2317164578313,40,2.852163791656494,0.7760623678548565,0.9135063886642456
Action,035,13.520886421203613,331.57389335532235,127,1.9402145147323608,0.754153572166408,0.854132890701294
Action,037,13.339218139648438,263.4053211756153,104,2.351844310760498,0.7885974826089317,0.9090002775192261
Action,039,13.042520523071289,223.51453911190202,113,2.6806492805480957,0.8255463905509597,0.9219232797622681
Action,041,12.53923511505127,161.00352508552947,1,3.974806070327759,0.8385416566757912,0.9330455660820007
Action,043,12.793662071228027,222.60082822430988,100,2.9058010578155518,0.8052077634581806,0.9308096170425415
Action,045,12.732730865478516,199.75799908440047,5,4.2289862632751465,0.8724844124792285,0.9340368509292603
Action,047,12.58593463897705,191.39264732681036,90,4.3724565505981445,0.8227499393414429,0.9562210440635681
Action,049,12.518238067626953,169.27543603315354,29,4.457514762878418,0.8776385855274372,0.9248440861701965
Action,051,13.218986511230469,245.59371454908225,204,1.9201068878173828,0.733223922739103,0.8683356046676636
Action,053,13.140925407409668,235.82980430234204,32,2.716430425643921,0.8161625785538227,0.8725429177284241
Action,055,13.30549144744873,264.05921275848215,172,2.0808169841766357,0.7533534176800467,0.8917075991630554
Action,057,13.36741828918457,260.9489717531977,530,2.198833465576172,0.8239587072917439,0.8713955879211426
Action,059,13.541260719299316,313.81444782947943,54,1.8050326108932495,0.6053536458335846,0.8723061680793762
Action,061,12.844595909118652,214.5968076763722,62,3.4258804321289062,0.8485116505141692,0.9314568638801575
Action,063,13.439234733581543,308.1070043952428,61,1.7841806411743164,0.711198735389767,0.8472655415534973
Action,065,12.6229887008667,172.559855245904,1,4.5941996574401855,0.8867055248050976,0.921271562576294
Action,067,12.904813766479492,213.9995805779891,3,3.2781262397766113,0.897328396536638,0.911210834980011
Action,069,12.92897891998291,216.38500371251362,87,3.4744832515716553,0.8643035513820378,0.9218157529830933
Action,071,13.450791358947754,294.2790035219357,39,2.216144323348999,0.8103928605312537,0.8707192540168762
Action,073,13.011857032775879,252.99685937239906,4,3.3850314617156982,0.8315454523409539,0.9182815551757812
Action,075,12.925684928894043,220.0030646621493,3,3.6314332485198975,0.8667099052860622,0.9297678470611572
Action,077,13.475713729858398,350.6614555592185,144,1.920275330543518,0.7740994274775581,0.8564169406890869
Action,079,13.098806381225586,253.1503420453342,103,3.069087505340576,0.8224612813048398,0.9303157925605774
Action,081,13.388754844665527,298.85794131157377,91,2.210949182510376,0.7499548732821291,0.8860085010528564
Action,083,13.336235046386719,311.60468051091203,3,2.383009433746338,0.8163716364076725,0.8839529752731323
Action,085,13.129545211791992,276.1882444243314,92,2.6658639907836914,0.8344272071531397,0.9102739095687866
Action,087,12.811332702636719,244.46740025513273,1,3.3368310928344727,0.8690572177778257,0.9377529621124268
Action,089,13.435049057006836,312.39505372944353,94,2.127297878265381,0.7319306984377146,0.8735244870185852
Action,091,13.149216651916504,280.7948478580227,74,2.9478952884674072,0.8266714125494391,0.8774721622467041
Action,093,13.526144981384277,394.86699464497343,250,2.117267608642578,0.7884137134937529,0.8863072395324707
Action,095,13.247859954833984,312.4858031166414,38,2.229114294052124,0.7599494623992074,0.8446855545043945
Action,097,12.677078247070312,197.24891151151272,37,3.20930814743042,0.8533938514761522,0.8917297124862671
Action,099,13.289756774902344,289.9825724390809,3,2.560755729675293,0.8286390287295603,0.8826348185539246
Affective,001,13.786429405212402,318.8839660560742,1,1.535244107246399,0.6963585785556438,0.7974995970726013
Affective,003,13.749835968017578,348.53882389251066,169,1.480612874031067,0.5845239998953654,0.8003610968589783
Affective,005,13.613824844360352,340.75256882091037,4,2.165015697479248,0.6844261164044781,0.8743500709533691
Affective,007,12.639010429382324,186.00147682460957,74,3.3207035064697266,0.9052298950455225,0.9172366261482239
Affective,009,13.473220825195312,288.5310291371879,76,1.5982588529586792,0.5606772043782032,0.8344761729240417
Affective,011,12.4354248046875,158.55330284030933,125,3.4566426277160645,0.8826368090136648,0.902275025844574
Affective,013,13.631304740905762,337.83358460790976,92,2.1275815963745117,0.7615397513333829,0.8552520871162415
Affective,015,13.413084030151367,379.2008034336201,56,2.5063459873199463,0.7517392207459954,0.8916797041893005
Affective,017,13.52973747253418,340.5634610032289,26,2.2862319946289062,0.8133392248868666,0.8756003975868225
Affective,019,13.678021430969238,364.3747796822649,40,2.47255802154541,0.8155919094294729,0.8558234572410583
Affective,021,13.437787055969238,248.68867860316612,131,1.8230863809585571,0.7190641587821391,0.8123201727867126
Affective,023,12.85017204284668,220.57886050836052,98,2.912104368209839,0.8942996992899745,0.9396084547042847
Affective,025,13.279905319213867,315.69233674788563,81,2.6060352325439453,0.7965577756814367,0.8753716945648193
Affective,027,13.687443733215332,357.34710211182676,97,2.4768548011779785,0.7460024697488357,0.8967394828796387
Affective,029,13.33483600616455,303.0623689597289,1,2.3255181312561035,0.8020361603132965,0.8795382976531982
Affective,031,13.135584831237793,268.4998808379282,116,3.1976616382598877,0.8377263089542106,0.9136971831321716
Affective,033,13.108227729797363,253.072374710227,177,2.483638048171997,0.8095974580678723,0.9104206562042236
Affective,035,12.65800666809082,178.18181307710825,2,4.182401657104492,0.9134110141623842,0.9149693250656128
Affective,037,12.743429183959961,248.2730596594781,38,4.101396560668945,0.8608289557780431,0.9295293688774109
Affective,039,12.617578506469727,190.87102100163435,1,3.4823365211486816,0.9034917804487911,0.9189929962158203
Affective,041,12.877742767333984,219.83739881545804,7,3.4291911125183105,0.8723644267663283,0.9095280766487122
Affective,043,13.316579818725586,335.6924410306505,30,3.078686237335205,0.8115765916124049,0.8803204894065857
Affective,045,13.28690242767334,349.18023733100154,57,2.6926138401031494,0.8233431832473218,0.9075677990913391
Affective,047,13.496216773986816,290.138117709024,130,2.134993314743042,0.770349042908981,0.84441739320755
Affective,049,13.190518379211426,271.6050349761231,25,2.6683237552642822,0.7984484494540014,0.9259395599365234
Affective,051,13.329477310180664,365.1271525536403,65,2.4724862575531006,0.8306524917138479,0.8470147252082825
Affective,053,13.140604019165039,327.61182100793246,46,2.7514455318450928,0.8233666862966645,0.8828321695327759
Affective,055,12.939911842346191,217.91896383974412,167,2.5188357830047607,0.8396392894647676,0.9253909587860107
Affective,057,12.479635238647461,220.67736869507834,2,3.959980010986328,0.8873219338472778,0.926764726638794
Affective,059,12.644430160522461,226.89950357954524,50,3.1028239727020264,0.863972979944928,0.9013524651527405
Affective,061,13.38715648651123,310.62971073651255,52,1.8019273281097412,0.6685787831609952,0.8683221340179443
