category,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,13.992964267730713,436.0215009813486,9.94,1.0896066999435425,0.3243301673194903,0.7819954431056977
Affective,14.071738300323487,442.1660656751008,13.14,0.965883304476738,0.28198684742960806,0.759880478978157
Art,14.064167690277099,441.2569989843055,11.78,0.927449329122901,0.32013446239034843,0.7472669410705567
BlackWhite,14.039704437255859,449.4484095810934,10.56,1.0378285593166947,0.30685541723559157,0.7758263921737671
Cartoon,14.131601696014405,469.363361883377,10.6,0.8541967928409576,0.2999436152321453,0.7407587563991547
Fractal,14.169996337890625,460.46089596452026,16.7,0.7632291842997074,0.24394765562363357,0.700328226685524
Indoor,14.131579151153565,458.94894931671456,12.76,0.7669107925891876,0.28855334324148285,0.7232079565525055
Inverted,14.110161151885986,461.4406755014815,13.14,0.8198916518688202,0.2826917300628422,0.7269658243656159
Jumbled,13.988718681335449,412.1887611839998,11.5,0.9029886198043823,0.35589467567516986,0.75473184466362
LineDrawing,14.271701126098632,468.63885557544063,18.12,0.5446341043710708,0.19868249432144874,0.6280418503284454
LowResolution,14.018544731140137,436.73579442362484,8.72,0.7161724580265582,0.2046024092673134,0.7183307504653931
Noisy,14.017188529968262,421.3767203583174,10.28,1.045428107380867,0.3322016640366589,0.7778424441814422
Object,14.027994861602783,426.8507882834407,11.64,0.9185435158014298,0.2792096305763488,0.736544291973114
OutdoorManMade,14.101951560974122,468.396774067704,11.2,0.7654559007287025,0.2648268847787111,0.7250184822082519
OutdoorNatural,14.11731746673584,460.4153388490129,9.74,0.8060321331769228,0.2749361638161487,0.7324058723449707
Pattern,14.059970703125,417.71066627241055,18.2,0.8968144431710243,0.2870202999393951,0.7496824491024018
Random,13.691918869018554,389.93882944167234,6.38,1.216183987557888,0.3719189799670767,0.800808619260788
Satelite,14.276659183502197,498.0325411086089,13.48,0.6550421166419983,0.24857910993180055,0.6955550813674927
Sketch,14.043610916137695,401.9593066627912,16.3,0.809544095993042,0.2251435281320396,0.697633661031723
Social,14.127632312774658,454.3226344265393,14.66,0.8940004806965589,0.30501227496177047,0.7523546683788299
