category,image,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,001,14.24667739868164,486.06765529530264,16,0.6019858717918396,0.16035018709496296,0.6758332848548889
Action,003,14.229890823364258,476.28672775189506,10,0.5320742130279541,0.17913632477191865,0.6633527874946594
Action,005,13.710051536560059,481.06289985493726,5,1.4087913036346436,0.3577259117928265,0.8247597813606262
Action,007,13.948983192443848,384.48780562874435,10,1.127621054649353,0.3846248567569376,0.8182124495506287
Action,009,14.359933853149414,508.9349837028737,33,0.7335859537124634,0.20887221395480754,0.7608470916748047
Action,011,14.142050743103027,463.38616821048385,12,0.9589654803276062,0.26188038450711854,0.7766629457473755
Action,013,13.531591415405273,305.8215307708371,11,1.429122805595398,0.5029106619278039,0.8471325635910034
Action,015,14.207524299621582,444.1872654312215,15,1.1871647834777832,0.3416801501731082,0.8096852898597717
Action,017,13.928567886352539,407.36561724918323,10,1.328779697418213,0.428779742334021,0.8357588648796082
Action,019,14.107165336608887,483.5333836602761,13,0.6043969988822937,0.2284816186126903,0.6982575058937073
Action,021,14.116382598876953,544.3300806807821,18,0.3820624053478241,0.1506434843797137,0.6171648502349854
Action,023,14.213653564453125,466.6672048356315,12,0.5775836706161499,0.19278876699252345,0.6720437407493591
Action,025,13.90969181060791,537.8859896940734,12,0.28347939252853394,0.10084572407990837,0.6325294375419617
Action,027,13.903787612915039,472.20869536267656,5,0.8193395733833313,0.2988492026391202,0.7543649673461914
Action,029,14.189587593078613,500.21319527367825,7,0.8564293384552002,0.2663987366876512,0.7577657103538513
Action,031,14.258047103881836,524.1991935896475,14,0.3956437110900879,0.1411069128262349,0.6244193911552429
Action,033,13.780390739440918,500.2620774775386,6,0.6472450494766235,0.17952320998759086,0.7107437252998352
Action,035,13.996321678161621,410.812000309506,6,1.044165015220642,0.41575088501491486,0.7871430516242981
Action,037,14.105277061462402,420.94000791636176,12,0.9754381775856018,0.33626705686196073,0.7873863577842712
Action,039,14.094278335571289,410.5901041860768,13,1.0859965085983276,0.34488269903316093,0.8145690560340881
Action,041,13.716803550720215,373.55446570819964,5,0.8426750898361206,0.1836773519378869,0.7761650681495667
Action,043,13.657906532287598,311.32719564935144,13,1.6646467447280884,0.47205359445718453,0.8962141871452332
Action,045,13.695035934448242,340.3753662669994,5,1.7401719093322754,0.3714297010754662,0.8825368285179138
Action,047,13.41978931427002,288.0907833779024,4,2.7208969593048096,0.5247986800869888,0.9481143951416016
Action,049,13.884897232055664,385.8633786083189,4,2.0777387619018555,0.42264340360590047,0.9094696640968323
Action,051,13.900550842285156,425.5218423756373,6,1.0735105276107788,0.41875606201387106,0.7956634759902954
Action,053,14.068374633789062,441.8558013372296,6,0.8826213479042053,0.27405410522441465,0.7548441290855408
Action,055,14.244999885559082,495.20639349480916,8,0.6422871351242065,0.24031096018519937,0.701960027217865
Action,057,13.99063777923584,405.1416240403315,11,1.006132960319519,0.3841020290667427,0.7855437397956848
Action,059,14.119949340820312,453.2188979837636,8,1.1947232484817505,0.4072198653794842,0.8131590485572815
Action,061,13.378311157226562,297.7788992984757,11,2.31091570854187,0.5783001621431965,0.9223613142967224
Action,063,14.167281150817871,489.04581613956776,9,0.9525150656700134,0.3910153629737858,0.7795822620391846
