category,mean_center_distance,mean_dispersion,mean_entropy,mean_num_peaks,mean_peak_prob,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,delta_entropy,delta_center_distance,delta_num_peaks
Sketch,210.0334961765257,59832.09658996933,6.0235534,3.87,2.977533001285337e-05,12.68192894935608,200.6548580057992,103.36,3.3203116631507874,0.8387774417981325,0.925264646410942,6.658375549356079,-9.378638170726475,99.49
LowResolution,221.3001170261961,72591.12037420235,5.9083595,3.21,2.9229490628495118e-05,12.986373147964478,210.7766965141361,96.6,3.0211213099956518,0.8180512182193937,0.90107750415802,7.078013647964478,-10.52342051206,93.39
Pattern,235.91008140436645,80870.39511353841,6.009696,3.48,2.715304847697553e-05,13.154661378860474,227.552973109298,92.26,2.7279993152618407,0.7861789384297492,0.8882910716533661,7.144965378860475,-8.357108295068457,88.78
BlackWhite,249.29702386571427,84980.9672852443,6.0591187,3.6,2.724187854255433e-05,13.085130891799928,242.5427877187266,89.81,2.878828743696213,0.7993836341550588,0.8990386795997619,7.026012191799928,-6.754236146987665,86.21000000000001
Object,255.15492279745868,89920.33567626281,6.0820403,4.17,2.441256825477467e-05,13.038295049667358,246.23311830505168,113.62,2.75764603972435,0.8023981055602214,0.9002758306264877,6.956254749667358,-8.921804492407006,109.45
Fractal,255.58608288949003,96973.55720132492,6.0388074,3.0,2.5351997483085145e-05,13.24100030899048,247.5139999567948,111.49,2.618397749662399,0.798954409550916,0.8781805568933487,7.202192908990481,-8.072082932695224,108.49
Random,258.3576491498015,83828.39642831593,6.058243,3.8,2.5128082179435292e-05,13.090966358184817,251.83123488254907,112.08,2.666831718683243,0.7926046995859544,0.9037465482950212,7.032723358184817,-6.52641426725242,108.28
Noisy,258.3795490257841,97895.02553286224,5.96943,3.84,2.6158139371545984e-05,13.249958429336548,247.66384475295789,86.4,2.538505643606186,0.7692221247609444,0.8799850338697434,7.280528429336548,-10.71570427282623,82.56
Affective,271.2747918500214,97960.8891274882,6.1507816,3.75,2.67161980173114e-05,13.044072227478027,259.7649205074175,78.77,2.8988569927215577,0.8040473268715777,0.8986631608009339,6.893290627478027,-11.509871342603901,75.02
OutdoorNatural,272.044301312228,103661.74926976794,6.0433393,3.39,2.4918648250604747e-05,13.320289478302,263.0379565628322,95.77,2.3917518866062166,0.759805614224049,0.8734327578544616,7.276950178301999,-9.006344749395794,92.38
LineDrawing,272.2280329875423,103055.31177905288,6.087307,3.38,2.4078523929347283e-05,13.339324512481689,260.3414690924833,101.07,2.32225102186203,0.7571723330195453,0.8737722820043564,7.252017512481689,-11.886563895058998,97.69
Action,273.1678850194812,101552.14984496783,6.113481,3.64,2.657238334904832e-05,13.14920729637146,268.7979742284544,91.04,2.695904264450073,0.780415489662808,0.8961918717622757,7.035726296371459,-4.369910791026825,87.4
Art,277.96270928399804,105552.76026528388,6.1025915,4.28,2.3381093988064092e-05,13.253349323272705,263.1697874774287,90.16,2.3983082795143127,0.7677129091264787,0.8782333874702454,7.150757823272705,-14.792921806569325,85.88
Inverted,282.19242853179776,109713.497231455,6.1206913,3.79,2.2920706796867308e-05,13.384543533325196,277.1619937512816,107.96,2.2564649057388304,0.7564707552351553,0.8712575644254684,7.2638522333251965,-5.030434780516146,104.16999999999999
OutdoorManMade,289.1195587324726,115474.7367419123,6.1164093,3.77,2.3491524507335272e-05,13.360773801803589,275.6991527263359,92.16,2.2591485953330994,0.7446751814034481,0.8686768358945847,7.244364501803589,-13.420406006136716,88.39
Indoor,298.40022938444474,122587.9663175877,6.12997,4.08,2.103155911754584e-05,13.41077564239502,289.3199749784828,101.11,2.168038637638092,0.7512660612444794,0.8670901125669479,7.28080564239502,-9.080254405961966,97.03
Jumbled,304.1638171515253,125374.15756649636,6.15206,4.08,1.8351759517827304e-05,13.514762411117552,290.2199281796152,103.65,1.9290547943115235,0.7325623221895348,0.8510036581754684,7.362702411117552,-13.943888971910098,99.57000000000001
Satelite,306.0565384903772,135160.94650106723,6.072556,3.37,2.267509627017717e-05,13.537249879837036,293.2209917978274,94.66,2.104228764772415,0.7410333090549912,0.8417455011606216,7.464693879837037,-12.83554669254977,91.28999999999999
Social,308.32565238901054,121167.08082503798,6.2007604,4.01,2.290840755449608e-05,13.297881832122805,300.8453517995447,97.21,2.4208462762832643,0.7689850665795243,0.883529012799263,7.097121432122805,-7.480300589465855,93.19999999999999
Cartoon,316.0692690945584,134139.51456062327,6.1421633,4.36,2.22716126791056e-05,13.45172872543335,306.1127626144629,109.94,2.208071565628052,0.7412821020308975,0.8675446003675461,7.30956542543335,-9.956506480095527,105.58
