model_name,category,delta_entropy,delta_center_distance,delta_num_peaks
center_bias_baseline,Action,7.466136436462403,45.509750105804734,2.66
center_bias_baseline,Affective,7.429723567962647,61.17032174966003,3.08
center_bias_baseline,Art,7.458271255493164,43.87866322940551,3.7
center_bias_baseline,BlackWhite,7.44686601638794,39.81686190484229,2.74
center_bias_baseline,Cartoon,7.422129306793213,55.8221675471963,3.5
center_bias_baseline,Fractal,7.54238115310669,35.13649709160313,2.24
center_bias_baseline,Indoor,7.435795955657959,55.14090156309556,3.22
center_bias_baseline,Inverted,7.449930925369262,34.926884140121196,2.86
center_bias_baseline,Jumbled,7.41741901397705,40.693437509874876,3.06
center_bias_baseline,LineDrawing,7.48025351524353,24.704054756090382,2.5
center_bias_baseline,LowResolution,7.642938156127929,47.81454250362267,2.78
center_bias_baseline,Noisy,7.602618656158447,36.965118574786146,2.56
center_bias_baseline,Object,7.484375610351562,34.409480983949564,3.36
center_bias_baseline,OutdoorManMade,7.455812644958496,39.11623132829355,3.14
center_bias_baseline,OutdoorNatural,7.513992843627929,34.14043094819539,2.48
center_bias_baseline,Pattern,7.530788822174072,37.06345259822814,2.56
center_bias_baseline,Random,7.497968788146973,36.54903987439329,3.06
center_bias_baseline,Satelite,7.486220045089722,58.72071514271296,2.18
center_bias_baseline,Sketch,7.529069108963013,52.40554769894854,3.44
center_bias_baseline,Social,7.375792436599731,50.59728780920101,3.12
