category,image,model_name,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,human_entropy,human_center_distance,human_num_peaks,delta_entropy,delta_center_distance,delta_num_peaks
Action,1,deepgazeiie,12.151535987854004,240.8726018456827,4,2.1697278022766118,0.5611092680913927,0.9042076468467712,5.995593070983887,212.024395238429,6,6.155942916870117,28.8482066072537,2
Action,3,deepgazeiie,12.883415222167969,329.4302753208241,4,1.5947189331054688,0.5204025317956843,0.8603333234786987,6.1447625160217285,293.942736762231,9,6.73865270614624,35.48753855859309,5
Action,5,deepgazeiie,11.590864181518556,218.65440070598103,4,2.8232171535491943,0.6685035831768147,0.906623363494873,6.105237483978272,231.9127995310304,3,5.485626697540284,13.258398825049369,1
Action,7,deepgazeiie,12.713640213012695,268.36163566658564,4,1.525338888168335,0.498180761010393,0.8843570351600647,6.093632221221924,259.8242327594318,4,6.6200079917907715,8.537402907153819,0
Action,9,deepgazeiie,12.702080726623535,280.6934392712827,8,2.0944831371307373,0.5557977598701772,0.8816969990730286,6.0848565101623535,249.83634329473895,3,6.617224216461182,30.857095976543775,5
Action,11,deepgazeiie,12.049973487854004,238.3739398640353,4,3.046128749847412,0.757991859715099,0.874817967414856,6.182762145996094,296.4516358318374,1,5.86721134185791,58.0776959678021,3
Action,13,deepgazeiie,12.940389633178713,211.13336241427328,16,1.4317889213562012,0.494829358496429,0.8627601861953735,6.144759178161621,286.7569026690232,6,6.795630455017092,75.62354025474991,10
Action,15,deepgazeiie,12.040159225463867,215.6876341656252,4,2.9095571041107178,0.7446711198647262,0.8831212520599365,6.15849494934082,252.72841279822467,1,5.881664276123047,37.040778632599455,3
Action,17,deepgazeiie,12.941542625427246,274.80785830043243,8,1.66242778301239,0.5212580476330657,0.8667982816696167,6.081904411315918,288.4097010623457,2,6.859638214111328,13.601842761913247,6
Action,19,deepgazeiie,12.80168628692627,250.7148372972487,16,1.7476108074188232,0.6401972299090574,0.8838415145874023,6.216770648956299,310.8184523770433,4,6.584915637969971,60.103615079794594,12
Action,21,deepgazeiie,12.743054389953612,310.8609393490289,12,1.1948978900909424,0.4503189507452398,0.8606951832771301,6.309901714324951,324.26974767736453,8,6.43315267562866,13.408808328335624,4
Action,23,deepgazeiie,12.624043464660645,252.89881946685648,4,1.928554892539978,0.5998825865407741,0.8616092801094055,6.216769695281982,330.2504069458908,5,6.407273769378662,77.35158747903432,1
Action,25,deepgazeiie,12.415528297424316,270.6555354179893,8,1.882569670677185,0.6339549475879319,0.8693851828575134,6.3028645515441895,327.8002343050386,4,6.112663745880127,57.14469888704929,4
Action,27,deepgazeiie,12.912001609802246,262.4829197130182,4,1.3985300064086914,0.4918318204952842,0.858372688293457,6.279018878936768,316.897114360546,3,6.6329827308654785,54.414194647527836,1
Action,29,deepgazeiie,12.100788116455078,192.4102587325096,12,1.869970202445984,0.5655716993391352,0.8612818717956543,6.219345569610596,278.6683528366335,1,5.881442546844482,86.25809410412393,11
Action,31,deepgazeiie,12.459732055664062,216.1351481672682,16,1.861185073852539,0.6341321108739091,0.8494985103607178,6.169359683990479,316.246268969327,6,6.290372371673583,100.11112080205879,10
Action,33,deepgazeiie,12.101552963256836,254.0209629670367,4,2.071452140808105,0.5522058104391702,0.879964292049408,5.972774982452393,240.0858097044475,4,6.128777980804443,13.935153262589182,0
Action,35,deepgazeiie,13.068439483642578,277.4781577383208,12,1.574527621269226,0.6095605055052856,0.8407440185546875,6.11953592300415,321.1261567079724,4,6.948903560638428,43.64799896965161,8
Action,37,deepgazeiie,13.02094554901123,254.0105915969241,12,1.6968456506729126,0.5664571735167709,0.8790006637573242,6.017910957336426,281.483598879608,4,7.003034591674805,27.47300728268391,8
Action,39,deepgazeiie,12.843451499938965,219.06961939767817,4,2.163604259490967,0.6556794368450723,0.906107485294342,6.070042133331299,222.39308615222825,6,6.773409366607666,3.3234667545500827,2
Action,41,deepgazeiie,12.342171669006348,168.80875574812552,4,2.711137294769287,0.5839511363649293,0.9286704659461976,5.718057632446289,176.79059151302312,1,6.624114036560059,7.981835764897596,3
Action,43,deepgazeiie,12.3129243850708,173.1443194902584,8,2.3072290420532227,0.6346712353062416,0.9249533414840698,5.784222602844238,226.5909796690977,4,6.5287017822265625,53.446660178839295,4
Action,45,deepgazeiie,12.013504028320312,198.85202022019132,4,4.23752498626709,0.809639896460296,0.9269707202911376,5.995590686798096,197.70243489133944,1,6.017913341522217,1.1495853288518845,3
Action,47,deepgazeiie,12.265423774719238,165.76607088925937,4,4.784110069274902,0.8606659222367771,0.947970688343048,5.735025882720947,177.9517760586045,1,6.530397891998291,12.185705169345141,3
Action,49,deepgazeiie,12.116580963134766,182.04935233072115,4,4.555234909057617,0.8469892744423639,0.9349805116653442,6.030421257019043,178.49665352475114,2,6.086159706115723,3.55269880597001,2
Action,51,deepgazeiie,12.820176124572754,232.04431140894653,8,1.5875755548477173,0.5928573875010249,0.8702195286750793,6.239651679992676,278.981198630439,6,6.580524444580078,46.93688722149247,2
Action,53,deepgazeiie,12.691913604736328,239.57446362230843,4,2.3276970386505127,0.6810319976248109,0.8808906674385071,6.193355083465576,259.0174349161835,4,6.498558521270752,19.442971293875075,0
Action,55,deepgazeiie,12.980924606323242,228.7670251481329,4,1.3903019428253174,0.4927494508359525,0.8794679641723633,6.269325733184815,260.4011218420249,3,6.711598873138427,31.63409669389202,1
Action,57,deepgazeiie,12.68600845336914,212.1503334792346,8,2.03539776802063,0.7422028131421857,0.8664637804031372,6.211607933044434,272.9033050843482,3,6.474400520324707,60.75297160511357,5
Action,59,deepgazeiie,12.88435173034668,248.5345073895108,16,1.4360136985778809,0.4737054823802936,0.860179603099823,6.261986255645752,311.66201403360776,2,6.622365474700928,63.12750664409697,14
Action,61,deepgazeiie,12.288739204406738,204.78512047517543,4,2.8613898754119877,0.6893529588829133,0.9298426508903505,6.113832473754883,208.7337895072371,4,6.1749067306518555,3.948669032061673,0
Action,63,deepgazeiie,13.040518760681152,262.2477496527718,4,1.416696071624756,0.5641215721122648,0.8399715423583984,6.1880717277526855,343.58287617858565,3,6.852447032928467,81.33512652581385,1
Action,65,deepgazeiie,11.893731117248535,150.17555451078456,8,4.081700325012207,0.7568617512432896,0.9206409454345704,6.128014087677002,162.06461942348483,3,5.765717029571533,11.889064912700263,5
Action,67,deepgazeiie,12.4738130569458,204.90680629771003,8,2.4573233127593994,0.6710424318982925,0.9082306027412416,6.110980033874512,211.34732312585007,4,6.362833023071289,6.440516828140034,4
Action,69,deepgazeiie,12.22645092010498,181.09553373230625,4,2.7769150733947754,0.6772170152355391,0.917076051235199,6.090718746185303,202.14998561018697,4,6.135732173919678,21.054451877880723,0
Affective,1,deepgazeiie,13.375309944152832,284.4542284592848,16,1.099038004875183,0.5012045296523161,0.7980412244796753,6.185415744781494,329.051947091661,6,7.189894199371338,44.5977186323762,10
Affective,3,deepgazeiie,13.132282257080078,357.5871937371049,4,1.5471246242523191,0.606882890674739,0.8156290054321289,6.116700649261475,398.9625010850419,11,7.0155816078186035,41.375307347936996,7
Affective,5,deepgazeiie,12.765864372253418,261.3742554265957,4,1.860190153121948,0.5829034753144331,0.8648930191993713,6.087785720825195,300.8353995753188,2,6.678078651428223,39.461144148723065,2
Affective,7,deepgazeiie,12.582393646240234,181.7661313436762,4,3.172657251358032,0.8529591045605049,0.9173859357833862,6.2446699142456055,194.7176561448698,2,6.337723731994629,12.951524801193614,2
