model_name,category,delta_entropy,delta_center_distance,delta_num_peaks
samresnet,Action,7.028392677307129,16.030614672345447,94.04
samresnet,Affective,6.8988297653198245,20.84331710501034,71.44
samresnet,Art,7.146636409759521,21.354289512278523,76.34
samresnet,BlackWhite,7.012347469329834,17.603570622594244,83.36
samresnet,Cartoon,7.271474475860596,20.118759204098914,107.46
samresnet,Fractal,7.207123355865479,18.371801462604715,104.94
samresnet,Indoor,7.292481880187989,19.778519658885674,103.34
samresnet,Inverted,7.233308324813843,17.18568059834995,94.74
samresnet,Jumbled,7.341109676361084,18.977057418248602,106.72
samresnet,LineDrawing,7.288109292984009,19.52925604009896,90.32
samresnet,LowResolution,7.05127649307251,16.069678223684228,102.08
samresnet,Noisy,7.280308303833007,16.200836868835637,77.84
samresnet,Object,6.968966522216797,17.844030549144044,94.66
samresnet,OutdoorManMade,7.185715618133545,21.924354322218647,91.96
samresnet,OutdoorNatural,7.240814418792724,17.413904638814703,95.22
samresnet,Pattern,7.14463586807251,16.469113971219276,83.66
samresnet,Random,6.98567325592041,17.716942970391685,86.56
samresnet,Satelite,7.457783517837524,23.600472830979708,104.14
samresnet,Sketch,6.617652215957642,14.002920378508035,99.14
samresnet,Social,7.063329496383667,16.296169712089263,90.16
