model_name,category,threshold_ratio,neighborhood,mean_delta_num_peaks
deepgazeiie,Action,0.5,15,5.914285714285715
deepgazeiie,Action,0.5,25,5.914285714285715
deepgazeiie,Action,0.5,35,5.8
deepgazeiie,Action,0.6,15,4.085714285714285
deepgazeiie,Action,0.6,25,4.085714285714285
deepgazeiie,Action,0.6,35,4.085714285714285
deepgazeiie,Action,0.7,15,3.057142857142857
deepgazeiie,Action,0.7,25,3.057142857142857
deepgazeiie,Action,0.7,35,3.057142857142857
deepgazeiie,Affective,0.5,15,5.428571428571429
deepgazeiie,Affective,0.5,25,5.542857142857143
deepgazeiie,Affective,0.5,35,5.485714285714286
deepgazeiie,Affective,0.6,15,4.0
deepgazeiie,Affective,0.6,25,4.171428571428572
deepgazeiie,Affective,0.6,35,4.171428571428572
deepgazeiie,Affective,0.7,15,3.142857142857143
deepgazeiie,Affective,0.7,25,3.3142857142857145
deepgazeiie,Affective,0.7,35,3.3142857142857145
deepgazeiie,Art,0.5,15,11.82857142857143
deepgazeiie,Art,0.5,25,11.028571428571428
deepgazeiie,Art,0.5,35,10.8
deepgazeiie,Art,0.6,15,8.457142857142857
deepgazeiie,Art,0.6,25,8.285714285714286
deepgazeiie,Art,0.6,35,8.057142857142857
deepgazeiie,Art,0.7,15,6.628571428571429
deepgazeiie,Art,0.7,25,6.457142857142857
deepgazeiie,Art,0.7,35,6.457142857142857
deepgazeiie,BlackWhite,0.5,15,6.171428571428572
deepgazeiie,BlackWhite,0.5,25,5.942857142857143
deepgazeiie,BlackWhite,0.5,35,5.828571428571428
deepgazeiie,BlackWhite,0.6,15,4.514285714285714
deepgazeiie,BlackWhite,0.6,25,4.285714285714286
deepgazeiie,BlackWhite,0.6,35,4.228571428571429
deepgazeiie,BlackWhite,0.7,15,3.4857142857142858
deepgazeiie,BlackWhite,0.7,25,3.4857142857142858
deepgazeiie,BlackWhite,0.7,35,3.4285714285714284
deepgazeiie,Cartoon,0.5,15,8.085714285714285
deepgazeiie,Cartoon,0.5,25,7.8
deepgazeiie,Cartoon,0.5,35,7.571428571428571
deepgazeiie,Cartoon,0.6,15,6.371428571428571
deepgazeiie,Cartoon,0.6,25,6.2
deepgazeiie,Cartoon,0.6,35,6.085714285714285
deepgazeiie,Cartoon,0.7,15,4.542857142857143
deepgazeiie,Cartoon,0.7,25,4.371428571428571
deepgazeiie,Cartoon,0.7,35,4.257142857142857
deepgazeiie,Fractal,0.5,15,9.885714285714286
deepgazeiie,Fractal,0.5,25,9.4
deepgazeiie,Fractal,0.5,35,9.228571428571428
deepgazeiie,Fractal,0.6,15,6.257142857142857
deepgazeiie,Fractal,0.6,25,6.142857142857143
deepgazeiie,Fractal,0.6,35,6.142857142857143
deepgazeiie,Fractal,0.7,15,4.257142857142857
deepgazeiie,Fractal,0.7,25,4.142857142857143
deepgazeiie,Fractal,0.7,35,4.142857142857143
deepgazeiie,Indoor,0.5,15,9.542857142857143
deepgazeiie,Indoor,0.5,25,9.257142857142858
deepgazeiie,Indoor,0.5,35,9.142857142857142
deepgazeiie,Indoor,0.6,15,7.885714285714286
deepgazeiie,Indoor,0.6,25,7.6
deepgazeiie,Indoor,0.6,35,7.485714285714286
deepgazeiie,Indoor,0.7,15,5.6571428571428575
deepgazeiie,Indoor,0.7,25,5.542857142857143
deepgazeiie,Indoor,0.7,35,5.542857142857143
deepgazeiie,Inverted,0.5,15,9.17142857142857
deepgazeiie,Inverted,0.5,25,8.82857142857143
deepgazeiie,Inverted,0.5,35,8.714285714285714
deepgazeiie,Inverted,0.6,15,7.3428571428571425
deepgazeiie,Inverted,0.6,25,7.057142857142857
deepgazeiie,Inverted,0.6,35,6.942857142857143
deepgazeiie,Inverted,0.7,15,5.571428571428571
deepgazeiie,Inverted,0.7,25,5.285714285714286
deepgazeiie,Inverted,0.7,35,5.171428571428572
deepgazeiie,Jumbled,0.5,15,10.485714285714286
deepgazeiie,Jumbled,0.5,25,9.8
deepgazeiie,Jumbled,0.5,35,9.685714285714285
deepgazeiie,Jumbled,0.6,15,6.428571428571429
deepgazeiie,Jumbled,0.6,25,6.085714285714285
deepgazeiie,Jumbled,0.6,35,5.9714285714285715
deepgazeiie,Jumbled,0.7,15,5.285714285714286
deepgazeiie,Jumbled,0.7,25,5.114285714285714
deepgazeiie,Jumbled,0.7,35,5.0
deepgazeiie,LineDrawing,0.5,15,8.971428571428572
deepgazeiie,LineDrawing,0.5,25,8.8
deepgazeiie,LineDrawing,0.5,35,8.8
deepgazeiie,LineDrawing,0.6,15,6.285714285714286
deepgazeiie,LineDrawing,0.6,25,6.285714285714286
deepgazeiie,LineDrawing,0.6,35,6.285714285714286
deepgazeiie,LineDrawing,0.7,15,5.085714285714285
deepgazeiie,LineDrawing,0.7,25,5.142857142857143
deepgazeiie,LineDrawing,0.7,35,5.142857142857143
deepgazeiie,LowResolution,0.5,15,7.942857142857143
deepgazeiie,LowResolution,0.5,25,7.542857142857143
deepgazeiie,LowResolution,0.5,35,7.485714285714286
deepgazeiie,LowResolution,0.6,15,6.3428571428571425
deepgazeiie,LowResolution,0.6,25,6.057142857142857
deepgazeiie,LowResolution,0.6,35,6.057142857142857
deepgazeiie,LowResolution,0.7,15,4.114285714285714
deepgazeiie,LowResolution,0.7,25,3.942857142857143
deepgazeiie,LowResolution,0.7,35,3.942857142857143
deepgazeiie,Noisy,0.5,15,8.571428571428571
deepgazeiie,Noisy,0.5,25,8.514285714285714
deepgazeiie,Noisy,0.5,35,8.514285714285714
deepgazeiie,Noisy,0.6,15,6.057142857142857
deepgazeiie,Noisy,0.6,25,6.0
deepgazeiie,Noisy,0.6,35,6.0
deepgazeiie,Noisy,0.7,15,4.685714285714286
deepgazeiie,Noisy,0.7,25,4.628571428571429
deepgazeiie,Noisy,0.7,35,4.628571428571429
deepgazeiie,Object,0.5,15,7.8
deepgazeiie,Object,0.5,25,7.228571428571429
deepgazeiie,Object,0.5,35,7.114285714285714
deepgazeiie,Object,0.6,15,5.857142857142857
deepgazeiie,Object,0.6,25,5.571428571428571
deepgazeiie,Object,0.6,35,5.457142857142857
deepgazeiie,Object,0.7,15,3.914285714285714
deepgazeiie,Object,0.7,25,3.6285714285714286
deepgazeiie,Object,0.7,35,3.5142857142857142
deepgazeiie,OutdoorManMade,0.5,15,7.2
deepgazeiie,OutdoorManMade,0.5,25,7.085714285714285
deepgazeiie,OutdoorManMade,0.5,35,7.0285714285714285
deepgazeiie,OutdoorManMade,0.6,15,5.885714285714286
deepgazeiie,OutdoorManMade,0.6,25,5.885714285714286
deepgazeiie,OutdoorManMade,0.6,35,5.828571428571428
deepgazeiie,OutdoorManMade,0.7,15,4.3428571428571425
deepgazeiie,OutdoorManMade,0.7,25,4.3428571428571425
deepgazeiie,OutdoorManMade,0.7,35,4.285714285714286
deepgazeiie,OutdoorNatural,0.5,15,11.257142857142858
deepgazeiie,OutdoorNatural,0.5,25,10.342857142857143
deepgazeiie,OutdoorNatural,0.5,35,10.0
deepgazeiie,OutdoorNatural,0.6,15,8.742857142857142
deepgazeiie,OutdoorNatural,0.6,25,8.114285714285714
deepgazeiie,OutdoorNatural,0.6,35,7.828571428571428
deepgazeiie,OutdoorNatural,0.7,15,6.3428571428571425
deepgazeiie,OutdoorNatural,0.7,25,5.942857142857143
deepgazeiie,OutdoorNatural,0.7,35,5.771428571428571
deepgazeiie,Pattern,0.5,15,15.314285714285715
deepgazeiie,Pattern,0.5,25,15.085714285714285
