model_name,category,image,threshold_ratio,neighborhood,model_num_peaks
deepgazeiie,Action,001,0.5,15,4
deepgazeiie,Action,001,0.5,25,4
deepgazeiie,Action,001,0.5,35,4
deepgazeiie,Action,001,0.6,15,4
deepgazeiie,Action,001,0.6,25,4
deepgazeiie,Action,001,0.6,35,4
deepgazeiie,Action,001,0.7,15,4
deepgazeiie,Action,001,0.7,25,4
deepgazeiie,Action,001,0.7,35,4
deepgazeiie,Action,003,0.5,15,4
deepgazeiie,Action,003,0.5,25,4
deepgazeiie,Action,003,0.5,35,4
deepgazeiie,Action,003,0.6,15,4
deepgazeiie,Action,003,0.6,25,4
deepgazeiie,Action,003,0.6,35,4
deepgazeiie,Action,003,0.7,15,4
deepgazeiie,Action,003,0.7,25,4
deepgazeiie,Action,003,0.7,35,4
deepgazeiie,Action,005,0.5,15,4
deepgazeiie,Action,005,0.5,25,4
deepgazeiie,Action,005,0.5,35,4
deepgazeiie,Action,005,0.6,15,4
deepgazeiie,Action,005,0.6,25,4
deepgazeiie,Action,005,0.6,35,4
deepgazeiie,Action,005,0.7,15,4
deepgazeiie,Action,005,0.7,25,4
deepgazeiie,Action,005,0.7,35,4
deepgazeiie,Action,007,0.5,15,4
deepgazeiie,Action,007,0.5,25,4
deepgazeiie,Action,007,0.5,35,4
deepgazeiie,Action,007,0.6,15,4
deepgazeiie,Action,007,0.6,25,4
deepgazeiie,Action,007,0.6,35,4
deepgazeiie,Action,007,0.7,15,4
deepgazeiie,Action,007,0.7,25,4
deepgazeiie,Action,007,0.7,35,4
deepgazeiie,Action,009,0.5,15,8
deepgazeiie,Action,009,0.5,25,8
deepgazeiie,Action,009,0.5,35,8
deepgazeiie,Action,009,0.6,15,8
deepgazeiie,Action,009,0.6,25,8
deepgazeiie,Action,009,0.6,35,8
deepgazeiie,Action,009,0.7,15,4
deepgazeiie,Action,009,0.7,25,4
deepgazeiie,Action,009,0.7,35,4
deepgazeiie,Action,011,0.5,15,4
deepgazeiie,Action,011,0.5,25,4
deepgazeiie,Action,011,0.5,35,4
deepgazeiie,Action,011,0.6,15,4
deepgazeiie,Action,011,0.6,25,4
deepgazeiie,Action,011,0.6,35,4
deepgazeiie,Action,011,0.7,15,4
deepgazeiie,Action,011,0.7,25,4
deepgazeiie,Action,011,0.7,35,4
deepgazeiie,Action,013,0.5,15,24
deepgazeiie,Action,013,0.5,25,24
deepgazeiie,Action,013,0.5,35,24
deepgazeiie,Action,013,0.6,15,16
deepgazeiie,Action,013,0.6,25,16
deepgazeiie,Action,013,0.6,35,16
deepgazeiie,Action,013,0.7,15,16
deepgazeiie,Action,013,0.7,25,16
deepgazeiie,Action,013,0.7,35,16
deepgazeiie,Action,015,0.5,15,4
deepgazeiie,Action,015,0.5,25,4
deepgazeiie,Action,015,0.5,35,4
deepgazeiie,Action,015,0.6,15,4
deepgazeiie,Action,015,0.6,25,4
deepgazeiie,Action,015,0.6,35,4
deepgazeiie,Action,015,0.7,15,4
deepgazeiie,Action,015,0.7,25,4
deepgazeiie,Action,015,0.7,35,4
deepgazeiie,Action,017,0.5,15,8
deepgazeiie,Action,017,0.5,25,8
deepgazeiie,Action,017,0.5,35,8
deepgazeiie,Action,017,0.6,15,8
deepgazeiie,Action,017,0.6,25,8
deepgazeiie,Action,017,0.6,35,8
deepgazeiie,Action,017,0.7,15,4
deepgazeiie,Action,017,0.7,25,4
deepgazeiie,Action,017,0.7,35,4
deepgazeiie,Action,019,0.5,15,16
deepgazeiie,Action,019,0.5,25,16
deepgazeiie,Action,019,0.5,35,16
deepgazeiie,Action,019,0.6,15,16
deepgazeiie,Action,019,0.6,25,16
deepgazeiie,Action,019,0.6,35,16
deepgazeiie,Action,019,0.7,15,16
deepgazeiie,Action,019,0.7,25,16
deepgazeiie,Action,019,0.7,35,16
deepgazeiie,Action,021,0.5,15,16
deepgazeiie,Action,021,0.5,25,16
deepgazeiie,Action,021,0.5,35,16
deepgazeiie,Action,021,0.6,15,12
deepgazeiie,Action,021,0.6,25,12
deepgazeiie,Action,021,0.6,35,12
deepgazeiie,Action,021,0.7,15,12
deepgazeiie,Action,021,0.7,25,12
deepgazeiie,Action,021,0.7,35,12
deepgazeiie,Action,023,0.5,15,4
deepgazeiie,Action,023,0.5,25,4
deepgazeiie,Action,023,0.5,35,4
deepgazeiie,Action,023,0.6,15,4
deepgazeiie,Action,023,0.6,25,4
deepgazeiie,Action,023,0.6,35,4
deepgazeiie,Action,023,0.7,15,4
deepgazeiie,Action,023,0.7,25,4
deepgazeiie,Action,023,0.7,35,4
deepgazeiie,Action,025,0.5,15,8
deepgazeiie,Action,025,0.5,25,8
deepgazeiie,Action,025,0.5,35,8
deepgazeiie,Action,025,0.6,15,8
deepgazeiie,Action,025,0.6,25,8
deepgazeiie,Action,025,0.6,35,8
deepgazeiie,Action,025,0.7,15,8
deepgazeiie,Action,025,0.7,25,8
deepgazeiie,Action,025,0.7,35,8
deepgazeiie,Action,027,0.5,15,12
deepgazeiie,Action,027,0.5,25,12
deepgazeiie,Action,027,0.5,35,12
deepgazeiie,Action,027,0.6,15,4
deepgazeiie,Action,027,0.6,25,4
deepgazeiie,Action,027,0.6,35,4
deepgazeiie,Action,027,0.7,15,4
deepgazeiie,Action,027,0.7,25,4
deepgazeiie,Action,027,0.7,35,4
deepgazeiie,Action,029,0.5,15,12
deepgazeiie,Action,029,0.5,25,12
deepgazeiie,Action,029,0.5,35,12
deepgazeiie,Action,029,0.6,15,12
deepgazeiie,Action,029,0.6,25,12
deepgazeiie,Action,029,0.6,35,12
deepgazeiie,Action,029,0.7,15,8
deepgazeiie,Action,029,0.7,25,8
deepgazeiie,Action,029,0.7,35,8
deepgazeiie,Action,031,0.5,15,20
deepgazeiie,Action,031,0.5,25,20
deepgazeiie,Action,031,0.5,35,20
deepgazeiie,Action,031,0.6,15,16
deepgazeiie,Action,031,0.6,25,16
deepgazeiie,Action,031,0.6,35,16
deepgazeiie,Action,031,0.7,15,12
deepgazeiie,Action,031,0.7,25,12
deepgazeiie,Action,031,0.7,35,12
deepgazeiie,Action,033,0.5,15,4
deepgazeiie,Action,033,0.5,25,4
deepgazeiie,Action,033,0.5,35,4
deepgazeiie,Action,033,0.6,15,4
deepgazeiie,Action,033,0.6,25,4
deepgazeiie,Action,033,0.6,35,4
deepgazeiie,Action,033,0.7,15,4
deepgazeiie,Action,033,0.7,25,4
deepgazeiie,Action,033,0.7,35,4
deepgazeiie,Action,035,0.5,15,16
deepgazeiie,Action,035,0.5,25,16
deepgazeiie,Action,035,0.5,35,16
deepgazeiie,Action,035,0.6,15,12
deepgazeiie,Action,035,0.6,25,12
deepgazeiie,Action,035,0.6,35,12
deepgazeiie,Action,035,0.7,15,8
deepgazeiie,Action,035,0.7,25,8
deepgazeiie,Action,035,0.7,35,8
deepgazeiie,Action,037,0.5,15,16
deepgazeiie,Action,037,0.5,25,16
deepgazeiie,Action,037,0.5,35,16
deepgazeiie,Action,037,0.6,15,12
deepgazeiie,Action,037,0.6,25,12
deepgazeiie,Action,037,0.6,35,12
deepgazeiie,Action,037,0.7,15,8
deepgazeiie,Action,037,0.7,25,8
deepgazeiie,Action,037,0.7,35,8
deepgazeiie,Action,039,0.5,15,4
deepgazeiie,Action,039,0.5,25,4
deepgazeiie,Action,039,0.5,35,4
deepgazeiie,Action,039,0.6,15,4
deepgazeiie,Action,039,0.6,25,4
deepgazeiie,Action,039,0.6,35,4
deepgazeiie,Action,039,0.7,15,4
deepgazeiie,Action,039,0.7,25,4
deepgazeiie,Action,039,0.7,35,4
deepgazeiie,Action,041,0.5,15,4
deepgazeiie,Action,041,0.5,25,4
deepgazeiie,Action,041,0.5,35,4
deepgazeiie,Action,041,0.6,15,4
deepgazeiie,Action,041,0.6,25,4
deepgazeiie,Action,041,0.6,35,4
deepgazeiie,Action,041,0.7,15,4
deepgazeiie,Action,041,0.7,25,4
deepgazeiie,Action,041,0.7,35,4
deepgazeiie,Action,043,0.5,15,12
deepgazeiie,Action,043,0.5,25,12
deepgazeiie,Action,043,0.5,35,12
deepgazeiie,Action,043,0.6,15,8
deepgazeiie,Action,043,0.6,25,8
deepgazeiie,Action,043,0.6,35,8
deepgazeiie,Action,043,0.7,15,8
deepgazeiie,Action,043,0.7,25,8
deepgazeiie,Action,043,0.7,35,8
deepgazeiie,Action,045,0.5,15,4
deepgazeiie,Action,045,0.5,25,4
deepgazeiie,Action,045,0.5,35,4
deepgazeiie,Action,045,0.6,15,4
deepgazeiie,Action,045,0.6,25,4
deepgazeiie,Action,045,0.6,35,4
deepgazeiie,Action,045,0.7,15,4
deepgazeiie,Action,045,0.7,25,4
deepgazeiie,Action,045,0.7,35,4
deepgazeiie,Action,047,0.5,15,4
deepgazeiie,Action,047,0.5,25,4
deepgazeiie,Action,047,0.5,35,4
deepgazeiie,Action,047,0.6,15,4
deepgazeiie,Action,047,0.6,25,4
deepgazeiie,Action,047,0.6,35,4
deepgazeiie,Action,047,0.7,15,4
deepgazeiie,Action,047,0.7,25,4
deepgazeiie,Action,047,0.7,35,4
deepgazeiie,Action,049,0.5,15,4
deepgazeiie,Action,049,0.5,25,4
deepgazeiie,Action,049,0.5,35,4
deepgazeiie,Action,049,0.6,15,4
deepgazeiie,Action,049,0.6,25,4
deepgazeiie,Action,049,0.6,35,4
deepgazeiie,Action,049,0.7,15,4
deepgazeiie,Action,049,0.7,25,4
deepgazeiie,Action,049,0.7,35,4
deepgazeiie,Action,051,0.5,15,8
deepgazeiie,Action,051,0.5,25,8
deepgazeiie,Action,051,0.5,35,8
deepgazeiie,Action,051,0.6,15,8
deepgazeiie,Action,051,0.6,25,8
deepgazeiie,Action,051,0.6,35,8
deepgazeiie,Action,051,0.7,15,8
deepgazeiie,Action,051,0.7,25,8
deepgazeiie,Action,051,0.7,35,8
deepgazeiie,Action,053,0.5,15,4
deepgazeiie,Action,053,0.5,25,4
deepgazeiie,Action,053,0.5,35,4
deepgazeiie,Action,053,0.6,15,4
deepgazeiie,Action,053,0.6,25,4
deepgazeiie,Action,053,0.6,35,4
deepgazeiie,Action,053,0.7,15,4
deepgazeiie,Action,053,0.7,25,4
deepgazeiie,Action,053,0.7,35,4
deepgazeiie,Action,055,0.5,15,4
deepgazeiie,Action,055,0.5,25,4
deepgazeiie,Action,055,0.5,35,4
deepgazeiie,Action,055,0.6,15,4
deepgazeiie,Action,055,0.6,25,4
deepgazeiie,Action,055,0.6,35,4
deepgazeiie,Action,055,0.7,15,4
deepgazeiie,Action,055,0.7,25,4
deepgazeiie,Action,055,0.7,35,4
deepgazeiie,Action,057,0.5,15,8
deepgazeiie,Action,057,0.5,25,8
deepgazeiie,Action,057,0.5,35,8
deepgazeiie,Action,057,0.6,15,8
deepgazeiie,Action,057,0.6,25,8
deepgazeiie,Action,057,0.6,35,8
deepgazeiie,Action,057,0.7,15,8
deepgazeiie,Action,057,0.7,25,8
deepgazeiie,Action,057,0.7,35,8
deepgazeiie,Action,059,0.5,15,40
deepgazeiie,Action,059,0.5,25,40
deepgazeiie,Action,059,0.5,35,36
deepgazeiie,Action,059,0.6,15,16
deepgazeiie,Action,059,0.6,25,16
deepgazeiie,Action,059,0.6,35,16
deepgazeiie,Action,059,0.7,15,8
deepgazeiie,Action,059,0.7,25,8
deepgazeiie,Action,059,0.7,35,8
deepgazeiie,Action,061,0.5,15,8
deepgazeiie,Action,061,0.5,25,8
deepgazeiie,Action,061,0.5,35,8
deepgazeiie,Action,061,0.6,15,4
deepgazeiie,Action,061,0.6,25,4
deepgazeiie,Action,061,0.6,35,4
deepgazeiie,Action,061,0.7,15,4
deepgazeiie,Action,061,0.7,25,4
deepgazeiie,Action,061,0.7,35,4
deepgazeiie,Action,063,0.5,15,4
deepgazeiie,Action,063,0.5,25,4
deepgazeiie,Action,063,0.5,35,4
deepgazeiie,Action,063,0.6,15,4
deepgazeiie,Action,063,0.6,25,4
deepgazeiie,Action,063,0.6,35,4
deepgazeiie,Action,063,0.7,15,4
deepgazeiie,Action,063,0.7,25,4
deepgazeiie,Action,063,0.7,35,4
deepgazeiie,Action,065,0.5,15,8
deepgazeiie,Action,065,0.5,25,8
deepgazeiie,Action,065,0.5,35,8
deepgazeiie,Action,065,0.6,15,8
deepgazeiie,Action,065,0.6,25,8
deepgazeiie,Action,065,0.6,35,8
deepgazeiie,Action,065,0.7,15,8
deepgazeiie,Action,065,0.7,25,8
deepgazeiie,Action,065,0.7,35,8
deepgazeiie,Action,067,0.5,15,8
deepgazeiie,Action,067,0.5,25,8
deepgazeiie,Action,067,0.5,35,8
deepgazeiie,Action,067,0.6,15,8
deepgazeiie,Action,067,0.6,25,8
deepgazeiie,Action,067,0.6,35,8
deepgazeiie,Action,067,0.7,15,4
deepgazeiie,Action,067,0.7,25,4
deepgazeiie,Action,067,0.7,35,4
deepgazeiie,Action,069,0.5,15,4
deepgazeiie,Action,069,0.5,25,4
deepgazeiie,Action,069,0.5,35,4
deepgazeiie,Action,069,0.6,15,4
deepgazeiie,Action,069,0.6,25,4
deepgazeiie,Action,069,0.6,35,4
deepgazeiie,Action,069,0.7,15,4
deepgazeiie,Action,069,0.7,25,4
deepgazeiie,Action,069,0.7,35,4
deepgazeiie,Affective,001,0.5,15,20
deepgazeiie,Affective,001,0.5,25,20
deepgazeiie,Affective,001,0.5,35,20
deepgazeiie,Affective,001,0.6,15,16
deepgazeiie,Affective,001,0.6,25,16
deepgazeiie,Affective,001,0.6,35,16
deepgazeiie,Affective,001,0.7,15,12
deepgazeiie,Affective,001,0.7,25,12
deepgazeiie,Affective,001,0.7,35,12
deepgazeiie,Affective,003,0.5,15,10
deepgazeiie,Affective,003,0.5,25,4
deepgazeiie,Affective,003,0.5,35,4
deepgazeiie,Affective,003,0.6,15,10
deepgazeiie,Affective,003,0.6,25,4
deepgazeiie,Affective,003,0.6,35,4
deepgazeiie,Affective,003,0.7,15,10
deepgazeiie,Affective,003,0.7,25,4
deepgazeiie,Affective,003,0.7,35,4
deepgazeiie,Affective,005,0.5,15,8
deepgazeiie,Affective,005,0.5,25,8
deepgazeiie,Affective,005,0.5,35,8
deepgazeiie,Affective,005,0.6,15,4
deepgazeiie,Affective,005,0.6,25,4
deepgazeiie,Affective,005,0.6,35,4
deepgazeiie,Affective,005,0.7,15,4
deepgazeiie,Affective,005,0.7,25,4
deepgazeiie,Affective,005,0.7,35,4
deepgazeiie,Affective,007,0.5,15,4
deepgazeiie,Affective,007,0.5,25,4
deepgazeiie,Affective,007,0.5,35,4
deepgazeiie,Affective,007,0.6,15,4
deepgazeiie,Affective,007,0.6,25,4
deepgazeiie,Affective,007,0.6,35,4
deepgazeiie,Affective,007,0.7,15,4
deepgazeiie,Affective,007,0.7,25,4
deepgazeiie,Affective,007,0.7,35,4
deepgazeiie,Affective,009,0.5,15,16
deepgazeiie,Affective,009,0.5,25,16
deepgazeiie,Affective,009,0.5,35,16
deepgazeiie,Affective,009,0.6,15,12
deepgazeiie,Affective,009,0.6,25,12
deepgazeiie,Affective,009,0.6,35,12
deepgazeiie,Affective,009,0.7,15,8
deepgazeiie,Affective,009,0.7,25,8
deepgazeiie,Affective,009,0.7,35,8
deepgazeiie,Affective,011,0.5,15,12
deepgazeiie,Affective,011,0.5,25,12
deepgazeiie,Affective,011,0.5,35,12
deepgazeiie,Affective,011,0.6,15,8
deepgazeiie,Affective,011,0.6,25,8
deepgazeiie,Affective,011,0.6,35,8
deepgazeiie,Affective,011,0.7,15,4
deepgazeiie,Affective,011,0.7,25,4
deepgazeiie,Affective,011,0.7,35,4
deepgazeiie,Affective,013,0.5,15,8
deepgazeiie,Affective,013,0.5,25,8
deepgazeiie,Affective,013,0.5,35,8
deepgazeiie,Affective,013,0.6,15,8
deepgazeiie,Affective,013,0.6,25,8
deepgazeiie,Affective,013,0.6,35,8
deepgazeiie,Affective,013,0.7,15,8
deepgazeiie,Affective,013,0.7,25,8
deepgazeiie,Affective,013,0.7,35,8
deepgazeiie,Affective,015,0.5,15,16
deepgazeiie,Affective,015,0.5,25,16
deepgazeiie,Affective,015,0.5,35,14
deepgazeiie,Affective,015,0.6,15,12
deepgazeiie,Affective,015,0.6,25,12
deepgazeiie,Affective,015,0.6,35,12
deepgazeiie,Affective,015,0.7,15,12
deepgazeiie,Affective,015,0.7,25,12
deepgazeiie,Affective,015,0.7,35,12
deepgazeiie,Affective,017,0.5,15,16
deepgazeiie,Affective,017,0.5,25,16
deepgazeiie,Affective,017,0.5,35,16
deepgazeiie,Affective,017,0.6,15,12
deepgazeiie,Affective,017,0.6,25,12
deepgazeiie,Affective,017,0.6,35,12
deepgazeiie,Affective,017,0.7,15,12
deepgazeiie,Affective,017,0.7,25,12
