model_name,category,delta_entropy,delta_center_distance,delta_num_peaks
transalnet,Action,7.871566753387452,168.13249417721835,6.36
transalnet,Affective,7.913927917480469,167.4611720727537,9.38
transalnet,Art,7.9349049949646,160.18448413276056,8.36
transalnet,BlackWhite,7.899036502838134,173.28091489387978,7.06
transalnet,Cartoon,7.966197052001953,162.98392661646133,6.58
transalnet,Fractal,8.12484354019165,207.76973354567465,13.7
transalnet,Indoor,7.979841156005859,150.18165142191745,8.82
transalnet,Inverted,7.972558126449585,178.49183388491633,9.88
transalnet,Jumbled,7.818603744506836,111.38339849707714,8.12
transalnet,LineDrawing,8.164420690536499,190.17639230091245,14.62
transalnet,LowResolution,8.073948936462402,213.20658932662832,5.66
transalnet,Noisy,8.032273235321044,162.64866695512237,6.96
transalnet,Object,7.9248365211486815,170.5135450754268,7.64
transalnet,OutdoorManMade,7.970230255126953,184.32325306287666,7.42
transalnet,OutdoorNatural,8.043776359558105,184.05496055142584,6.58
transalnet,Pattern,8.003225574493408,178.73856720163144,14.64
transalnet,Random,7.602353706359863,126.19259309065941,4.04
transalnet,Satelite,8.175345277786255,182.22039230009614,10.38
transalnet,Sketch,7.985146074295044,188.3673989876255,11.86
transalnet,Social,7.915890798568726,147.63863166311327,10.58
